mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2,0,0,256,256,2,128,0,1.1759462356567383,1.1686142683029175,0.040152549743652344,1.1284617185592651,True,0,True,True,2,0,ok,,570.0,544.0,544.0,570.0,256.0,0.0,0.0,0.0,1.1788681149482727e-05,0.027340215165168047,2.2556671826168895,0.050336599349975586,0.0,2.305971384048462,True,
prefix,pr2_v2,0,0,256,256,2,128,1,1.1950206756591797,1.181862235069275,0.05381894111633301,1.128043293952942,True,0,True,True,2,0,ok,,570.0,544.0,544.0,570.0,256.0,0.0,0.0,0.0,1.0483898222446442e-05,0.0275088120251894,2.255377952940762,0.05213284492492676,0.0,2.3073618412017822,True,
prefix,pr2_v2,0,0,256,256,2,128,2,1.1978192329406738,1.18404221534729,0.05585682392120361,1.1281853914260864,True,0,True,True,2,0,ok,,570.0,544.0,544.0,570.0,256.0,0.0,0.0,0.0,3.389175981283188e-05,0.027716876938939095,2.255161913111806,0.05287814140319824,0.0,2.308016300201416,True,
prefix,pr2_v2,0,0,256,256,4,128,0,1.2206063270568848,1.2034339308738708,0.06429105997085571,1.1391428709030151,True,0,True,True,4,0,ok,,1140.0,1088.0,1088.0,1140.0,512.0,0.0,0.0,0.0,5.2702147513628006e-05,0.06138241058215499,4.547132384497672,0.13773107528686523,0.0,4.685021877288818,True,
prefix,pr2_v2,0,0,256,256,4,128,1,1.2235133647918701,1.2052439451217651,0.0666159987449646,1.1386279463768005,True,0,True,True,4,0,ok,,1140.0,1088.0,1088.0,1140.0,512.0,0.0,0.0,0.0,6.611086428165436e-05,0.05906495172530413,4.547191218007356,0.13586068153381348,0.0,4.683211088180542,True,
prefix,pr2_v2,0,0,256,256,4,128,2,1.238431692123413,1.2114508152008057,0.08007258176803589,1.1313782334327698,True,0,True,True,4,0,ok,,1140.0,1088.0,1088.0,1140.0,512.0,0.0,0.0,0.0,5.1097944378852844e-05,0.059010743629187346,4.54170822026208,0.14565467834472656,0.0,4.687459468841553,True,
prefix,pr2_v2,0,0,256,256,8,128,0,1.300654649734497,1.2661719620227814,0.105144202709198,1.1610277593135834,True,0,True,True,8,0,ok,,2280.0,2176.0,2176.0,2280.0,1024.0,0.0,0.0,0.0,0.00012127915397286415,0.1222814698703587,9.206511753145605,0.3695516586303711,0.0,9.57720398902893,True,
prefix,pr2_v2,0,0,256,256,8,128,1,1.3047370910644531,1.2555885314941406,0.10090222954750061,1.15468630194664,True,0,True,True,8,0,ok,,2280.0,2176.0,2176.0,2280.0,1024.0,0.0,0.0,0.0,0.00021606823429465294,0.12292758421972394,9.19365814467892,0.3629646301269531,0.0,9.556516647338867,True,
prefix,pr2_v2,0,0,256,256,8,128,2,1.3042914867401123,1.2578753530979156,0.10185679793357849,1.1560185551643372,True,0,True,True,8,0,ok,,2280.0,2176.0,2176.0,2280.0,1024.0,0.0,0.0,0.0,0.00011932896450161934,0.12364054704084992,9.204605037812144,0.3554344177246094,0.0,9.561209678649902,True,
prefix,pr2_v2,0,0,512,512,2,128,0,1.198261022567749,1.1867421865463257,0.05544602870941162,1.131296157836914,True,0,True,True,2,0,ok,,1082.0,1056.0,1056.0,1082.0,256.0,0.0,0.0,0.0,1.0324176400899887e-05,0.027729082852602005,2.26189756533131,0.059404850006103516,0.0,2.321310043334961,True,
prefix,pr2_v2,0,0,512,512,2,128,1,1.185821294784546,1.1777217388153076,0.04675745964050293,1.1309642791748047,True,0,True,True,2,0,ok,,1082.0,1056.0,1056.0,1082.0,256.0,0.0,0.0,0.0,1.2048054486513138e-05,0.02729583904147148,2.2611090554855764,0.059393882751464844,0.0,2.320452928543091,True,
prefix,pr2_v2,0,0,512,512,2,128,2,1.2027149200439453,1.1891001462936401,0.057745933532714844,1.1313542127609253,True,0,True,True,2,0,ok,,1082.0,1056.0,1056.0,1082.0,256.0,0.0,0.0,0.0,1.119077205657959e-05,0.027719235979020596,2.2625610204413533,0.05771636962890625,0.0,2.320263385772705,True,
