segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
f0b6510fe8b602fd90464f51,system,111,0,391,391,True,6365184,43290,111
1e5a30096fa46e569386dfb3,repo,1543,111,39,39,True,88481792,58634,1543
acb86a7b30f00af909b140d9,repo,125,1654,8,8,True,7168000,875,125
5d01eb8ae6a96a5a2f322855,repo,29,1779,8,8,True,1662976,203,29
71ffb71951ccd1b77e0a7cac,repo,108,1808,7,7,True,6193152,648,108
32d9f37804c3f308edd7005f,history,29,1916,7,7,True,1662976,174,29
9f24006dd5b440b51c0747d0,repo,79,1945,6,6,True,4530176,395,79
454ace9fdef806b345595e93,history,29,2024,6,6,True,1662976,145,29
888ea635af63320fa21bcd9a,repo,97,2053,5,5,True,5562368,388,97
aadc35ebf405f7a63becbddf,repo,164,2150,5,5,True,9404416,656,164
b8d603c55cd1b11a8441b048,repo,182,2314,4,4,True,10436608,546,182
55c9dc5d6a75cf29a00556a1,history,15,2496,4,4,True,860160,45,15
de83e940e1d28d63c41844f0,repo,131,2511,4,4,True,7512064,393,131
cd1da7905a84529de8e666d0,repo,59,2642,3,3,True,3383296,118,59
bffcc6e0096645cdcdeced69,history,15,2701,3,3,True,860160,30,15
eae51cd0d031b53ef35b901f,repo,162,2716,2,2,True,9289728,162,162
04cb4e55e11abdf66f9924c5,history,15,2878,2,2,True,860160,15,15
32415420ebde39c489838005,repo,66,2893,1,1,True,3784704,0,0
9484d7d2cbd10f12a3775641,history,376,2959,1,1,True,21561344,0,0
50d6a77b014ba30c5053cc65,repo,160,1654,9,9,True,9175040,1280,160
8b15380953464b193b6037c5,history,15,1814,9,9,True,860160,120,15
496f96be71ab875d344be216,repo,52,1829,8,8,True,2981888,364,52
a2a550f2199abee01c17be59,history,115,1881,8,8,True,6594560,805,115
6296aa0dedfb7b6f1f009875,repo,58,1996,7,7,True,3325952,348,58
