segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
f0b6510fe8b602fd90464f51,system,111,0,391,391,True,6365184,43290,111
1e5a30096fa46e569386dfb3,repo,1543,111,38,38,True,88481792,57091,1543
c3a5a74f707bfa8d1afbab5e,repo,201,1654,9,9,True,11526144,1608,201
dba46bbd5fd92ad0b33c3e71,history,359,1855,9,9,True,20586496,2872,359
b324dd0f4b24c8887e56bc09,repo,181,2214,8,8,True,10379264,1267,181
cfbf7d881c72add4e76240fd,history,44,2395,8,8,True,2523136,308,44
5edf43b836c625d882a4b7d7,repo,169,2439,7,7,True,9691136,1014,169
6478f8b1aa9e20f2ea7422cb,history,581,2608,7,7,True,33316864,3486,581
cce19051431d16ccb642f044,repo,188,3189,6,6,True,10780672,940,188
caf8cf5f7fdd69b5a105ade1,history,42,3377,6,6,True,2408448,210,42
7d6762790c7a6d23811335f1,repo,201,3419,5,5,True,11526144,804,201
f5d151bc6d0b3a5586410663,history,81,3620,5,5,True,4644864,324,81
089c720b9ac94b3433ad3d5a,repo,167,3701,4,4,True,9576448,501,167
60d9b659ae63d04c8a41fa0f,history,676,3868,4,4,True,38764544,2028,676
e45fb3c52a14aea97fd1ed80,repo,169,4544,3,3,True,9691136,338,169
600b2f8da6d47d3196a5a52b,history,888,4713,3,3,True,50921472,1776,888
25044b260b5971a27a6be80a,repo,188,5601,2,2,True,10780672,188,188
d2418e1ecbd5cdb6f2e86a51,history,42,5789,2,2,True,2408448,42,42
198b194ba9c1d5008bb63d7f,repo,201,5831,1,1,True,11526144,0,0
bcb3fc2bf5edc3598462b6c7,history,81,6032,1,1,True,4644864,0,0
87ac8de978d05d3b89d4cd81,repo,110,1654,7,7,True,6307840,660,110
47fe10ef6f448298e8a087c0,repo,29,1764,7,7,True,1662976,174,29
d784b14e004f2b4d6b685dba,repo,65,1793,6,6,True,3727360,325,65
50167243fc79c80be9889637,history,29,1858,6,6,True,1662976,145,29
6ea61f2faaf301bf845a6350,repo,57,1887,5,5,True,3268608,228,57
cf2906ac295f0a29a835057d,history,29,1944,5,5,True,1662976,116,29
7b3824cdbd34e33e7e6a986b,repo,63,1973,4,4,True,3612672,189,63
6f658e5b536a20a5d2e74d35,repo,2426,2036,4,4,True,139116544,7278,2426
e02d5bab4f1c7a32abe5f8e5,repo,140,4462,3,3,True,8028160,280,140
f342b220017999830dd92df7,history,15,4602,3,3,True,860160,30,15
50b639ad4b14bf71c05fdc61,repo,62,4617,2,2,True,3555328,62,62
0b7452fbaca340bd651f55e7,history,15,4679,2,2,True,860160,15,15
51539b4123b184979170300f,repo,54,4694,1,1,True,3096576,0,0
e7d12763e07ab49301fe822c,patch,195,4748,1,1,False,11182080,0,0
0f51b7ed115d56d733899353,repo,114,1654,9,9,True,6537216,912,114
0fcee7df85d0a35e1aedc040,repo,29,1768,9,9,True,1662976,232,29
615ab7a30853c8b8db16ab56,repo,105,1797,8,8,True,6021120,735,105
88c0e7e21cc3d53aa082f0fa,history,29,1902,8,8,True,1662976,203,29
d7c9cd08ab5c1c880748631a,repo,79,1931,7,7,True,4530176,474,79
1e073342bcb57acd85a9265d,history,29,2010,7,7,True,1662976,174,29
6f773ddecc929a97bbb4fd8d,repo,93,2039,6,6,True,5332992,465,93
c066f4f9c92f72fd5f6b447a,repo,2426,2132,6,6,True,139116544,12130,2426
74193517d743da024f9d07e6,repo,155,4558,5,5,True,8888320,620,155
6096e900cc0372199580b8dc,history,29,4713,5,5,True,1662976,116,29
d19360caf5bb781b2c233f86,repo,76,4742,4,4,True,4358144,228,76
5622f6683541c4519ed4c5a0,history,29,4818,4,4,True,1662976,87,29
ae1360624278e88c0ac21b31,repo,89,4847,3,3,True,5103616,178,89
5f1501115633e32342774284,repo,2426,4936,3,3,True,139116544,4852,2426
056591e3384d610d2db59499,repo,153,7362,2,2,True,8773632,153,153
5b6bb7e4fb993ab2539f3898,history,29,7515,2,2,True,1662976,29,29
dd213797246553d3ce28e36b,repo,74,7544,1,1,True,4243456,0,0
adb0f1226a49d47a697d31c0,history,29,7618,1,1,True,1662976,0,0
85abeb4d3d03f33787868b37,repo,74,1654,9,9,True,4243456,592,74
516e1dd359b195d425e95920,history,15,1728,9,9,True,860160,120,15
5981060f2e226b1621424848,repo,146,1743,8,8,True,8372224,1022,146
58fe5a3943810cab72419d33,history,15,1889,8,8,True,860160,105,15
d281320fb380a7f72a104639,repo,43,1904,7,7,True,2465792,258,43
02092ea5e4222cacd9a27e0e,history,375,1947,7,7,True,21504000,2250,375
3411019a89a06ef0bfe069f4,repo,43,2322,6,6,True,2465792,215,43
7f9fd06ae55ca3a2c0902bcf,history,44,2365,6,6,True,2523136,220,44
ec4d2d86e6c71914bc5e1d30,repo,53,2409,5,5,True,3039232,212,53
c326806e6a576d4e38ad7209,history,48,2462,5,5,True,2752512,192,48
9380d0579f5f4d975e6a7e9e,repo,122,2510,4,4,True,6995968,366,122
490becdac400081e0427c740,history,432,2632,4,4,True,24772608,1296,432
870304147c78e3e9f4323bfe,repo,76,3064,3,3,True,4358144,152,76
737f454db810a3d62b173e64,history,41,3140,3,3,True,2351104,82,41
f3f4e30730c31d8485dc19c6,repo,49,3181,2,2,True,2809856,49,49
039c8d4ddfdb066cece14fb2,history,44,3230,2,2,True,2523136,44,44
55f7956f80bbf3c56affe73a,repo,56,3274,1,1,True,3211264,0,0
93ded16bc6c58c588df14271,history,215,3330,1,1,True,12328960,0,0
3d4494b28c96743fe71e4a34,repo,1579,111,39,39,True,90546176,60002,1579
5e837be84c5c503075d7cbb6,repo,82,1690,9,9,True,4702208,656,82
bddd61dab7e07d98cbeca979,history,15,1772,9,9,True,860160,120,15
a823a47c9c3eeee502a6697d,repo,79,1787,8,8,True,4530176,553,79
4cf1144d3e528a1429708538,history,15,1866,8,8,True,860160,105,15
5f5c829465a1a76d45025ef7,repo,140,1881,7,7,True,8028160,840,140
03e8349b253d4005443c80c6,history,39,2021,7,7,True,2236416,234,39
b30348ec238f13957bb8da8f,repo,64,2060,6,6,True,3670016,320,64
bcadeb175a57b2d498dc0435,history,974,2124,6,6,True,55853056,4870,974
70b23d411be81e8f1ce9d8b6,repo,137,3098,5,5,True,7856128,548,137
b59f5f026dedd891a9531478,history,39,3235,5,5,True,2236416,156,39
53ec787e0517daf025b0b731,repo,87,3274,4,4,True,4988928,261,87
a6d39b07fb707f47e68c48ed,history,41,3361,4,4,True,2351104,123,41
7b1dba07b2c801d0324b8c59,repo,70,3402,3,3,True,4014080,140,70
e45f4e771ed2bd566ac649af,history,974,3472,3,3,True,55853056,1948,974
8b089fd092750ffeeb05607a,repo,137,4446,2,2,True,7856128,137,137
74faee06c59064ea36cd9958,history,39,4583,2,2,True,2236416,39,39
99a17e812b61dd1ce8c43161,repo,87,4622,1,1,True,4988928,0,0
f549ecf0239d7ea2f771eadc,history,41,4709,1,1,True,2351104,0,0
5cadc90eaccfe706935dcc53,repo,131,1690,9,9,True,7512064,1048,131
74f8802771e7e9cbee3965db,repo,71,1821,8,8,True,4071424,497,71
d0a9a8c2cf86e3bfcb3f6069,history,15,1892,8,8,True,860160,105,15
8f7e41f30f2ba8944597fbe4,repo,78,1907,7,7,True,4472832,468,78
a12c1252ae726b6dc67c6153,history,27,1985,7,7,True,1548288,162,27
a2546dfe83f0286eaa6976e7,repo,162,2012,6,6,True,9289728,810,162
0c31048b707075719f97fa1d,history,15,2174,6,6,True,860160,75,15
fdf62eb102a3b685e107b40d,repo,50,2189,5,5,True,2867200,200,50
f5c6f395977980ce9cf6e2bf,history,39,2239,5,5,True,2236416,156,39
45bb1c26bb3592c07bd78664,repo,97,2278,4,4,True,5562368,291,97
6448baeb27469f8f2c0fbb4c,history,37,2375,4,4,True,2121728,111,37
beb11422edbba501f9d02e60,repo,56,2412,3,3,True,3211264,112,56
0808374bc64cbb27935ef932,history,947,2468,3,3,True,54304768,1894,947
3c23d069de57cd9afc3fb19b,repo,128,3415,2,2,True,7340032,128,128
811abd53abec46227ef3c495,history,906,3543,2,2,True,51953664,906,906
695a10deb05b2bc3e891c395,repo,44,4449,1,1,True,2523136,0,0
cbd33c73dfa74ef15e45a22d,history,39,4493,1,1,True,2236416,0,0
42e2891af35793d4f0f2325d,repo,60,1690,9,9,True,3440640,480,60
ad30a908969c7d8381b87780,history,15,1750,9,9,True,860160,120,15
cbab7be87a3b941b45a88f97,repo,73,1765,8,8,True,4186112,511,73
b49065c022a3e77ec3454ecf,history,15,1838,8,8,True,860160,105,15
90f923e815b64167fc20a048,repo,79,1853,7,7,True,4530176,474,79
ace1a4eb4a2b1ecf2add7e86,history,191,1932,7,7,True,10952704,1146,191
1ec708e3f76dbfb8f26016b0,repo,101,2123,6,6,True,5791744,505,101
5faad01125a50cf20176e758,history,15,2224,6,6,True,860160,75,15
f6b3216b330de45c8140e675,repo,70,2239,5,5,True,4014080,280,70
2b21c7bdb72f9346451f51ea,history,15,2309,5,5,True,860160,60,15
31b156008da21e98134e5149,repo,58,2324,4,4,True,3325952,174,58
586479bad0f5f55c55cfe4b8,history,15,2382,4,4,True,860160,45,15
046920838b82e8280284fd6a,repo,80,2397,3,3,True,4587520,160,80
6c05ec357fe36deafc54559b,history,34,2477,3,3,True,1949696,68,34
bae698f72c4236246e4bd88b,repo,48,2511,2,2,True,2752512,48,48
