segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
f0b6510fe8b602fd90464f51,system,111,0,50,50,True,6365184,5439,111
6da26385615d4a199ec46c94,repo,1397,111,10,10,True,80109568,12573,1397
db1965a6830f4c688576f39f,repo,63,1508,9,9,True,3612672,504,63
d19acd1a0aed9db698b902ac,repo,38,1571,9,9,True,2179072,304,38
7448b501e63c1c2a7d316d5c,repo,54,1609,8,8,True,3096576,378,54
a1b30e5a5f6e2087baf5919f,history,29,1663,8,8,True,1662976,203,29
d2244c924fb025c708650895,repo,44,1692,7,7,True,2523136,264,44
bfcb0f1add4912abc0134f4f,history,29,1736,7,7,True,1662976,174,29
89424d67e55acb5914573552,repo,92,1765,6,6,True,5275648,460,92
eeada1f873a9d155fd22bc75,history,15,1857,6,6,True,860160,75,15
98dba3a3bc9721aabbfac1ec,repo,64,1872,5,5,True,3670016,256,64
4ac4a4b742c206e9e178f248,history,186,1936,5,5,True,10665984,744,186
c236063661ce8f47891863ee,repo,73,2122,4,4,True,4186112,219,73
253bee0742f2a7541b162df1,history,186,2195,4,4,True,10665984,558,186
f022e444bc89b8555d0e31b6,repo,59,2381,3,3,True,3383296,118,59
b8989f5e4b563350d3ae3695,history,916,2440,3,3,True,52527104,1832,916
92e72ea56db4ca5fada06f9a,repo,69,3356,2,2,True,3956736,69,69
50f9f079b23dfbf1880f0468,history,36,3425,2,2,True,2064384,36,36
f94c7eebf6b725bb8add2c2a,repo,59,3461,1,1,True,3383296,0,0
6b00ac2139f75b30c1d58347,history,201,3520,1,1,True,11526144,0,0
e5a380269fed59fd26f3d3cd,repo,1726,111,10,10,True,98975744,15534,1726
3e287122421a045117b61b30,repo,103,1837,9,9,True,5906432,824,103
94e1a98d7622a639fd64915c,repo,66,1940,9,9,True,3784704,528,66
ad31aa3e94e5dc97214918d3,repo,60,2006,8,8,True,3440640,420,60
cb2eec1d78c0f473daece00c,history,30,2066,8,8,True,1720320,210,30
5e7a9df64bd5f65c893c7ae2,repo,49,2096,7,7,True,2809856,294,49
b6639f71c0a2939775d7a8bb,history,917,2145,7,7,True,52584448,5502,917
52f6286335e3c2fbc9d247ba,repo,76,3062,6,6,True,4358144,380,76
eaa959d31453186faa58550a,repo,65,3138,6,6,True,3727360,325,65
43ab2dfdd560f3ba3765ac2c,repo,56,3203,5,5,True,3211264,224,56
89f6e5ccfd3413f82fe33710,history,27,3259,5,5,True,1548288,108,27
e61f6b1f291049d9ea7b49fd,repo,55,3286,4,4,True,3153920,165,55
dc85af419e69055277f06b7f,repo,5380,3341,4,4,True,308510720,16140,5380
aca777fa172f135b672749ec,repo,77,8721,3,3,True,4415488,154,77
4c4867d767d9c67baee5ca15,repo,65,8798,3,3,True,3727360,130,65
536841411357640fe395ec5d,repo,56,8863,2,2,True,3211264,56,56
c39120923dfa3a5b4e0b8f1a,history,27,8919,2,2,True,1548288,27,27
bbd63997c87e13d2224dcaef,repo,55,8946,1,1,True,3153920,0,0
4347b6ba1ac25a12508e0d18,repo,5380,9001,1,1,True,308510720,0,0
d409d2856244ee4da94e9d49,repo,1316,111,10,10,True,75464704,11844,1316
01dfb96cebfff14d947c8373,repo,99,1427,9,9,True,5677056,792,99
13ca7bca2f70d78471183a27,history,29,1526,9,9,True,1662976,232,29
1b0c062964d4bdb810319faf,repo,60,1555,8,8,True,3440640,420,60
02e6ff94ff0e9a52d65cfd5c,history,29,1615,8,8,True,1662976,203,29
60f048767a04869dd398e7ee,repo,49,1644,7,7,True,2809856,294,49
746490885bab1bd3a3876a6b,history,29,1693,7,7,True,1662976,174,29
d9e53afa3d403515847a2830,repo,70,1722,6,6,True,4014080,350,70
07eb9118afe991e754b3fdbf,history,29,1792,6,6,True,1662976,145,29
bcab1e423877c6c9ae0ac782,repo,52,1821,5,5,True,2981888,208,52
c00c4aeaa8c2183fbd1f3139,history,30,1873,5,5,True,1720320,120,30
8b037653244c6a17841e9808,repo,104,1903,4,4,True,5963776,312,104
5b4cd2c2e53ba796a8c87ed5,history,15,2007,4,4,True,860160,45,15
5840e8e02f4e6213f8ca1c22,repo,166,2022,3,3,True,9519104,332,166
04c456be97fd35568113133d,history,201,2188,3,3,True,11526144,402,201
7b4dedd12204206c388f5edd,repo,259,2389,2,2,True,14852096,259,259
6a065737e397e9ff97ec7e1c,history,344,2648,2,2,True,19726336,344,344
3223625db1c061197a308c0c,repo,197,2992,1,1,True,11296768,0,0
52dc051c8968859422fc3317,history,526,3189,1,1,True,30162944,0,0
3f467de4f5d0701abdacfc62,repo,1458,111,10,10,True,83607552,13122,1458
d0af172e2f9775afe397b6e8,repo,149,1569,9,9,True,8544256,1192,149
f7efd412c7dcd01e654467c2,history,29,1718,9,9,True,1662976,232,29
