segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
605edfbe0e71c1064760b101,system,196,0,75,75,True,11239424,14504,196
c0e3300562021c487c2f9213,repo,1397,196,15,15,True,80109568,19558,1397
478f372fe02111982a337b14,repo,63,1593,14,14,True,3612672,819,63
202ab361d2f5e3e2b7c268a4,repo,38,1656,14,14,True,2179072,494,38
a28351e405b6f026ada5edf4,repo,54,1694,13,13,True,3096576,648,54
e5025475fd48d33a22d0fda0,history,29,1748,13,13,True,1662976,348,29
81ff8efa1da134d0c1da1a4b,repo,96,1777,12,12,True,5505024,1056,96
b8042581ee2510cad015fcc4,history,15,1873,12,12,True,860160,165,15
16e5bb56e641590e21ad1643,repo,94,1888,11,11,True,5390336,940,94
fcd6bbcf570eaa97600d4b2c,history,108,1982,11,11,True,6193152,1080,108
00b299953b16d7eb5330a905,repo,59,2090,10,10,True,3383296,531,59
3ada273768ba0888eaa4988e,repo,190,2149,10,10,True,10895360,1710,190
e6a8ff3413a02e6f3a603cd6,repo,118,2339,9,9,True,6766592,944,118
39acc3d45598a2c8dd6d5363,history,15,2457,9,9,True,860160,120,15
5c73f606b88650924cd94ad6,repo,104,2472,8,8,True,5963776,728,104
fd3292b5ae4d9d5c27695db0,history,108,2576,8,8,True,6193152,756,108
4e7f83a6961d9d44dbd77991,repo,63,2684,7,7,True,3612672,378,63
27d14ac4659399d17a314bde,repo,380,2747,7,7,True,21790720,2280,380
891dac337393ecc4069c18dc,repo,126,3127,6,6,True,7225344,630,126
d48587bae6023dda92e3d55c,history,15,3253,6,6,True,860160,75,15
fe9b1c49e582f3da54db7291,repo,104,3268,5,5,True,5963776,416,104
4c1239012e52700cdd58a1d1,history,108,3372,5,5,True,6193152,432,108
2f3e989c07e5c14417600b57,repo,63,3480,4,4,True,3612672,189,63
301f65860db29b95b0a4fe22,repo,380,3543,4,4,True,21790720,1140,380
fa36b5ae3a9f7aea069c1b01,repo,126,3923,3,3,True,7225344,252,126
b5da3ab77bf1cf95ceedb22a,history,15,4049,3,3,True,860160,30,15
493224f6e87e2b6e9c4b75d2,repo,104,4064,2,2,True,5963776,104,104
91f1b42dd1a1b187ab808e5c,history,108,4168,2,2,True,6193152,108,108
46cdd6dc02aaac045242c8e3,repo,63,4276,1,1,True,3612672,0,0
724bcde0629042459514e84e,repo,380,4339,1,1,True,21790720,0,0
fa605ac0c1f484031de8a4ae,repo,1726,196,15,15,True,98975744,24164,1726
fa01075f79ebe29d56d418d2,repo,134,1922,14,14,True,7684096,1742,134
4ef5155354330571cd5ebb41,history,47,2056,14,14,True,2695168,611,47
54226f8780ab56426aa845ac,repo,111,2103,13,13,True,6365184,1332,111
98c3c943438458f01f637d51,history,37,2214,13,13,True,2121728,444,37
e0ee5961b0b4c2d1b400b5f0,repo,54,2251,12,12,True,3096576,594,54
eb6c4fc2a9e3fff12f58f604,history,1704,2305,12,12,True,97714176,18744,1704
b94631119ebdfea39133b117,repo,62,4009,11,11,True,3555328,620,62
f46926f1826a367296f9ecc0,history,27,4071,11,11,True,1548288,270,27
1faa6794c570271d58a10636,repo,55,4098,10,10,True,3153920,495,55
3e58173d375d6172dd5d5337,history,917,4153,10,10,True,52584448,8253,917
99e048d465e2100b689ceb86,repo,68,5070,9,9,True,3899392,544,68
d74c8a537005fec3c6ae944f,history,1327,5138,9,9,True,76095488,10616,1327
de7ea051ccd94e105afa3330,repo,117,6465,8,8,True,6709248,819,117
ab966dbe69a6e5184e426329,history,32,6582,8,8,True,1835008,224,32
8ecc8692b35368ea1cdafa75,repo,50,6614,7,7,True,2867200,300,50
b346914230434e66408ae041,repo,5380,6664,7,7,True,308510720,32280,5380
881946ca4dc38cae91344a82,repo,99,12044,6,6,True,5677056,495,99
ac9c90a3d62bd569f5de0788,history,29,12143,6,6,True,1662976,145,29
3d70529c0afc457d32555172,repo,51,12172,5,5,True,2924544,204,51
3103b5eb5160fc08178ae0e8,repo,5380,12223,5,5,True,308510720,21520,5380
18425c7fc8fa0f6b64055bda,repo,99,17603,4,4,True,5677056,297,99
119fed4764c9fa6e28833082,history,29,17702,4,4,True,1662976,87,29
609be14bf53bf0a6c9ad1b39,repo,51,17731,3,3,True,2924544,102,51
192ebb086f6ec66d4186913d,repo,5380,17782,3,3,True,308510720,10760,5380
4fe8bdcd2b12f1dcc8d3fab3,repo,99,23162,2,2,True,5677056,99,99
5a35ad75140796f3a56778f2,history,29,23261,2,2,True,1662976,29,29
3621e7a2450b95df007708ba,repo,51,23290,1,1,True,2924544,0,0
1fb51b17195622e04c4d84a6,repo,5380,23341,1,1,True,308510720,0,0
