segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
f0b6510fe8b602fd90464f51,system,111,0,49,49,True,6365184,5328,111
6da26385615d4a199ec46c94,repo,1397,111,10,10,True,80109568,12573,1397
9b1d27131f15a8664e49ef17,repo,75,1508,9,9,True,4300800,600,75
45f053d32b3224d654565365,repo,38,1583,9,9,True,2179072,304,38
c11bd3eb3cfc0e0b618f8fa7,repo,55,1621,8,8,True,3153920,385,55
7cbc530e4d084708e3cd1991,history,29,1676,8,8,True,1662976,203,29
f497ec1d386148cea59d9c6f,repo,44,1705,7,7,True,2523136,264,44
71bddc302b9c467db17730f0,history,29,1749,7,7,True,1662976,174,29
4cba4dfc34687010a2157117,repo,56,1778,6,6,True,3211264,280,56
e4c8fab86b63aaf0f6e96939,repo,2626,1834,6,6,True,150585344,13130,2626
01616515a60122e4c98add8b,repo,59,4460,5,5,True,3383296,236,59
9a5add66a8b6778d7d919c84,repo,91,4519,5,5,True,5218304,364,91
39b1d44a2d8f7d0cac02adf9,repo,57,4610,4,4,True,3268608,171,57
362bb803b23eb329c6f20d84,history,29,4667,4,4,True,1662976,87,29
38cb6e814dc2b88c3554b343,repo,35,4696,3,3,True,2007040,70,35
62b3709b5d073b6489f221a3,history,29,4731,3,3,True,1662976,58,29
4552ecc3497ce9e3e743543a,repo,56,4760,2,2,True,3211264,56,56
b804fac6c440b5314c780bfa,repo,2626,4816,2,2,True,150585344,2626,2626
fabfeef3e1bea72c6423c226,repo,59,7442,1,1,True,3383296,0,0
86bf60622efddf9370066214,repo,91,7501,1,1,True,5218304,0,0
e5a380269fed59fd26f3d3cd,repo,1726,111,10,10,True,98975744,15534,1726
701257f94314131282146817,repo,108,1837,9,9,True,6193152,864,108
7a608ae0fab3caa981781c89,repo,71,1945,9,9,True,4071424,568,71
a379e48f3a1d8c6651746cbc,repo,56,2016,8,8,True,3211264,392,56
2d5c2f3550a5831da26f72a2,history,917,2072,8,8,True,52584448,6419,917
59d8131732234d43347e7fee,repo,84,2989,7,7,True,4816896,504,84
77c5c83e1cc8933c9658fdac,repo,70,3073,7,7,True,4014080,420,70
3944e783dd4767fe63810db2,repo,44,3143,6,6,True,2523136,220,44
e786000f20d0b517108f0a47,repo,5380,3187,6,6,True,308510720,26900,5380
9365200653438d7fda8ff206,repo,90,8567,5,5,True,5160960,360,90
00d5d701752d1440aa933263,repo,71,8657,5,5,True,4071424,284,71
80290181adc0b6eb36506277,repo,44,8728,4,4,True,2523136,132,44
2078dfafaefeb7238c68d92b,repo,5380,8772,4,4,True,308510720,16140,5380
64975de94e1bec1fcf0f0b29,repo,90,14152,3,3,True,5160960,180,90
02462311f60a8be79877ca93,repo,71,14242,3,3,True,4071424,142,71
28a6d57decceca0d424426f1,repo,44,14313,2,2,True,2523136,44,44
14713dd3242f8472d8c10f1f,repo,5380,14357,2,2,True,308510720,5380,5380
57a67accc77576bd5898037a,repo,90,19737,1,1,True,5160960,0,0
bb597e00fbdd7c7411ca0e7d,repo,71,19827,1,1,True,4071424,0,0
d409d2856244ee4da94e9d49,repo,1316,111,10,10,True,75464704,11844,1316
f09c4b4a0a57581f601ff7f3,repo,100,1427,9,9,True,5734400,800,100
fe00403e15f23a11fd63fe19,history,29,1527,9,9,True,1662976,232,29
106c8ba5c8cca91eb91dfe2b,repo,59,1556,8,8,True,3383296,413,59
02e6ff94ff0e9a52d65cfd5c,history,29,1615,8,8,True,1662976,203,29
2701ed9b70da74bf6043aeed,repo,72,1644,7,7,True,4128768,432,72
1715f7699eedb226eea5f772,history,29,1716,7,7,True,1662976,174,29
d019f9a5ce2fb1956fcaf03d,repo,69,1745,6,6,True,3956736,345,69
d1683116f1d36dd8c0170813,history,1025,1814,6,6,True,58777600,5125,1025
6483eda8e25f24410c2add4a,repo,45,2839,5,5,True,2580480,180,45
