mode,run_id,input_tokens_target,input_tokens_actual,output_tokens_target,output_length_control_requested,concurrency,repeat,request_id,endpoint,stream,e2e_latency,ttft,decode_time,tpot,client_prompt_tokens,prompt_tokens_client,completion_tokens_client,client_completion_tokens,server_prompt_tokens,prompt_tokens_server,server_completion_tokens,completion_tokens_server,output_tokens_actual,start_time,first_token_time,end_time,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error,metrics_prompt_tokens_delta,metrics_generation_tokens_delta
length,pr2_v2,512,512,32,True,1,0,length-512-32-0-0,chat,True,0.427020788192749,0.1577444076538086,0.26927638053894043,0.008414886891841888,512,512,32,32,541,541,32,32,32,1778394981.6601565,1778394981.817901,1778394982.0871773,ok,,0.0,0.0,0.0,541.0,32.0,0.0,0.0,0.0,2.5509856641292572e-05,0.12319487612694502,0.2703097020275891,0.14529681205749512,0.0,0.41506123542785645,True,,541.0,32.0
length,pr2_v2,512,512,32,True,1,1,length-512-32-1-0,chat,True,0.3302497863769531,0.05171966552734375,0.2785301208496094,0.008704066276550293,512,512,32,32,541,541,32,32,32,1778394982.1525803,1778394982.2043,1778394982.48283,ok,,0.0,0.0,0.0,541.0,32.0,0.0,0.0,0.0,7.797963917255402e-06,0.019888109061867,0.2783462810330093,0.028040409088134766,0.0,0.3064250946044922,True,,541.0,32.0
length,pr2_v2,512,512,32,True,1,2,length-512-32-2-0,chat,True,0.3287656307220459,0.05073356628417969,0.2780320644378662,0.008688502013683319,512,512,32,32,541,541,32,32,32,1778394982.550767,1778394982.6015005,1778394982.8795326,ok,,0.0,0.0,0.0,541.0,32.0,0.0,0.0,0.0,6.869900971651077e-06,0.019968786276876926,0.2780516939237714,0.027767658233642578,0.0,0.3058798313140869,True,,541.0,32.0
length,pr2_v2,512,512,128,True,1,0,length-512-128-0-0,chat,True,1.191023349761963,0.05063462257385254,1.1403887271881104,0.008909286931157112,512,512,128,128,541,541,128,128,128,1778394982.9500918,1778394983.0007265,1778394984.1411152,ok,,0.0,0.0,0.0,541.0,128.0,0.0,0.0,0.0,6.960239261388779e-06,0.019731299951672554,1.1403851578943431,0.02832317352294922,0.0,1.1687452793121338,True,,541.0,128.0
length,pr2_v2,512,512,128,True,1,1,length-512-128-1-0,chat,True,1.1926181316375732,0.052602291107177734,1.1400158405303955,0.008906373754143715,512,512,128,128,541,541,128,128,128,1778394984.211963,1778394984.2645652,1778394985.404581,ok,,0.0,0.0,0.0,541.0,128.0,0.0,0.0,0.0,1.2557953596115112e-05,0.02076803520321846,1.139976605772972,0.029992341995239258,0.0,1.1699457168579102,True,,541.0,128.0
length,pr2_v2,512,512,128,True,1,2,length-512-128-2-0,chat,True,1.1943302154541016,0.055219173431396484,1.139111042022705,0.008899305015802383,512,512,128,128,541,541,128,128,128,1778394985.485892,1778394985.5411112,1778394986.6802223,ok,,0.0,0.0,0.0,541.0,128.0,0.0,0.0,0.0,8.235219866037369e-06,0.019825702998787165,1.1393174901604652,0.02954387664794922,0.0,1.168811321258545,True,,541.0,128.0
length,pr2_v2,512,512,512,True,1,0,length-512-512-0-0,chat,True,4.641561031341553,0.052840471267700195,4.5887205600738525,0.008962344843894243,512,512,512,512,541,541,512,512,512,1778394986.7554727,1778394986.8083131,1778394991.3970337,ok,,0.0,0.0,0.0,541.0,512.0,0.0,0.0,0.0,2.4649780243635178e-05,0.019884767942130566,4.588615962304175,0.029114484786987305,0.0,4.617812871932983,True,,541.0,512.0
length,pr2_v2,512,512,512,True,1,1,length-512-512-1-0,chat,True,4.6511054039001465,0.06286358833312988,4.588241815567017,0.00896140979602933,512,512,512,512,541,541,512,512,512,1778394991.4715936,1778394991.5344572,1778394996.122699,ok,,0.0,0.0,0.0,541.0,512.0,0.0,0.0,0.0,1.2420117855072021e-05,0.020129197742789984,4.587639299221337,0.02995610237121582,0.0,4.617599964141846,True,,541.0,512.0
length,pr2_v2,512,512,512,True,1,2,length-512-512-2-0,chat,True,4.64231276512146,0.05370378494262695,4.588608980178833,0.008962126914411783,512,512,512,512,541,541,512,512,512,1778394996.2003639,1778394996.2540677,1778395000.8426766,ok,,0.0,0.0,0.0,541.0,512.0,0.0,0.0,0.0,5.81890344619751e-06,0.01945578306913376,4.588016024790704,0.02981114387512207,0.0,4.617876291275024,True,,541.0,512.0
length,pr2_v2,512,512,1024,True,1,0,length-512-1024-0-0,chat,True,9.251675128936768,0.0589141845703125,9.192760944366455,0.008977305609732866,512,512,1024,1024,541,541,1024,1024,1024,1778395000.9228988,1778395000.981813,1778395010.174574,ok,,0.0,0.0,0.0,541.0,1024.0,0.0,0.0,0.0,1.7867889255285263e-05,0.021542957983911037,9.190816467162222,0.03136038780212402,0.0,9.222808361053467,True,,541.0,1024.0
