mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2_noprefix,0,0,256,256,2,128,0,1.201141357421875,1.1938767433166504,0.04612612724304199,1.1477506160736084,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,4.366924986243248e-05,0.037082654889672995,2.2941407463513315,0.06505584716796875,0.0,2.3588008880615234,True,
prefix,pr2_v2_noprefix,0,0,256,256,2,128,1,1.2038087844848633,1.195861577987671,0.0478360652923584,1.1480255126953125,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,2.348329871892929e-05,0.0359977288171649,2.2942819530144334,0.06262540817260742,0.0,2.356853723526001,True,
prefix,pr2_v2_noprefix,0,0,256,256,2,128,2,1.2068848609924316,1.1985546350479126,0.05127358436584473,1.1472810506820679,True,0,True,True,2,0,ok,,0.0,0.0,0.0,570.0,256.0,0.0,0.0,0.0,1.0944437235593796e-05,0.03623164212331176,2.29372590361163,0.0660560131072998,0.0,2.359706401824951,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,0,1.246180534362793,1.2329714894294739,0.07411640882492065,1.1588550806045532,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,3.517000004649162e-05,0.12021535262465477,4.626221714541316,0.19941496849060059,0.0,4.825941562652588,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,1,1.2447259426116943,1.2314828634262085,0.07349199056625366,1.1579908728599548,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,3.969389945268631e-05,0.12335648713633418,4.624166003894061,0.2012193202972412,0.0,4.825543403625488,True,
prefix,pr2_v2_noprefix,0,0,256,256,4,128,2,1.245178461074829,1.2318577766418457,0.07217913866043091,1.1596786379814148,True,0,True,True,4,0,ok,,0.0,0.0,0.0,1140.0,512.0,0.0,0.0,0.0,4.5408960431814194e-05,0.12046353798359632,4.6293687941506505,0.1969606876373291,0.0,4.8267128467559814,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,0,1.347534418106079,1.3217511177062988,0.14359426498413086,1.178156852722168,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.00014785118401050568,0.512706387322396,9.383934893645346,0.7487339973449707,0.0,10.134239196777344,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,1,1.3392643928527832,1.3132531940937042,0.13749614357948303,1.1757570505142212,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.00024795951321721077,0.5073179802857339,9.367901840712875,0.7509098052978516,0.0,10.118910312652588,True,
prefix,pr2_v2_noprefix,0,0,256,256,8,128,2,1.3516077995300293,1.3203468918800354,0.1412968635559082,1.1790500283241272,True,0,True,True,8,0,ok,,0.0,0.0,0.0,2280.0,1024.0,0.0,0.0,0.0,0.00013201357796788216,0.5103006009012461,9.383625682909042,0.7358648777008057,0.0,10.120442390441895,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,0,1.2204246520996094,1.2119592428207397,0.0597076416015625,1.1522516012191772,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,2.2646039724349976e-05,0.04835257958620787,2.3037241818383336,0.08493328094482422,0.0,2.3886022567749023,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,1,1.2175884246826172,1.2093614339828491,0.05717813968658447,1.1521832942962646,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,1.4975201338529587e-05,0.04714131820946932,2.3037020792253315,0.08110284805297852,0.0,2.3846476078033447,True,
prefix,pr2_v2_noprefix,0,0,512,512,2,128,2,1.2194750308990479,1.210951566696167,0.06077122688293457,1.1501803398132324,True,0,True,True,2,0,ok,,0.0,0.0,0.0,1082.0,256.0,0.0,0.0,0.0,1.3767275959253311e-05,0.05050280969589949,2.299530246295035,0.08803081512451172,0.0,2.387397050857544,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,0,1.2876763343811035,1.2715707421302795,0.10617715120315552,1.165393590927124,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,5.779927596449852e-05,0.18919653352349997,4.654925277456641,0.31394243240356445,0.0,4.96891975402832,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,1,1.2890393733978271,1.2734493613243103,0.10483306646347046,1.1686162948608398,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,3.4712255001068115e-05,0.19517710385844111,4.666661557741463,0.30951857566833496,0.0,4.976684331893921,True,
prefix,pr2_v2_noprefix,0,0,512,512,4,128,2,1.2898120880126953,1.2742674350738525,0.10620039701461792,1.1680670380592346,True,0,True,True,4,0,ok,,0.0,0.0,0.0,2164.0,512.0,0.0,0.0,0.0,3.3476389944553375e-05,0.1928555998019874,4.665701089892536,0.310943603515625,0.0,4.97686243057251,True,
prefix,pr2_v2_noprefix,0,0,512,512,8,128,0,1.4295976161956787,1.3974845707416534,0.204779714345932,1.1927048563957214,True,0,True,True,8,0,ok,,0.0,0.0,0.0,4328.0,1024.0,0.0,0.0,0.0,0.00011982768774032593,0.8965001772157848,9.511007625143975,1.2288987636566162,0.0,10.741520881652832,True,
prefix,pr2_v2_noprefix,0,0,512,512,8,128,1,1.4350435733795166,1.4026371836662292,0.2097247838973999,1.1929123997688293,True,0,True,True,8,0,ok,,0.0,0.0,0.0,4328.0,1024.0,0.0,0.0,0.0,0.00012165820226073265,0.8981191669590771,9.50851160287857,1.2584974765777588,0.0,10.76790189743042,True,
