mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2,0,0,256,256,2,128,0,1.2205989360809326,1.2125006914138794,0.08204460144042969,1.1304560899734497,True,0,True,True,2,0,ok,,570.0,48.0,48.0,570.0,256.0,0.0,0.0,0.0,4.665413871407509e-05,0.03746766597032547,2.2591942590661347,0.1299583911895752,0.0,2.3888118267059326,True,
prefix,pr2_v2,0,0,256,256,2,128,1,1.1844513416290283,1.176256537437439,0.04667222499847412,1.1295843124389648,True,0,True,True,2,0,ok,,570.0,48.0,48.0,570.0,256.0,0.0,0.0,0.0,1.567276194691658e-05,0.03454665653407574,2.257896490395069,0.059639692306518555,0.0,2.3173892498016357,True,
prefix,pr2_v2,0,0,256,256,2,128,2,1.18575119972229,1.1776121854782104,0.04606902599334717,1.1315431594848633,True,0,True,True,2,0,ok,,570.0,48.0,48.0,570.0,256.0,0.0,0.0,0.0,1.6747508198022842e-05,0.034759321715682745,2.2617186470888555,0.057970523834228516,0.0,2.3196828365325928,True,
prefix,pr2_v2,0,0,256,256,4,128,0,1.2370641231536865,1.2214983105659485,0.08234786987304688,1.1391504406929016,True,0,True,True,4,0,ok,,1140.0,128.0,128.0,1140.0,512.0,0.0,0.0,0.0,4.0930695831775665e-05,0.1269571860320866,4.553915749303997,0.2088465690612793,0.0,4.7626049518585205,True,
prefix,pr2_v2,0,0,256,256,4,128,1,1.234163761138916,1.2185242176055908,0.07457494735717773,1.143949270248413,True,0,True,True,4,0,ok,,1140.0,128.0,128.0,1140.0,512.0,0.0,0.0,0.0,3.258418291807175e-05,0.11350032081827521,4.566316688898951,0.19046568870544434,0.0,4.7572503089904785,True,
prefix,pr2_v2,0,0,256,256,4,128,2,1.2342638969421387,1.2188756465911865,0.07514292001724243,1.143732726573944,True,0,True,True,4,0,ok,,1140.0,128.0,128.0,1140.0,512.0,0.0,0.0,0.0,3.347080200910568e-05,0.11418458074331284,4.56584009481594,0.19231724739074707,0.0,4.758210182189941,True,
prefix,pr2_v2,0,0,256,256,8,128,0,1.3605561256408691,1.3252991735935211,0.1582881510257721,1.167011022567749,True,0,True,True,8,0,ok,,2280.0,256.0,256.0,2280.0,1024.0,0.0,0.0,0.0,0.0001223525032401085,0.45544023904949427,9.27433064719662,0.6813075542449951,0.0,9.956839323043823,True,
prefix,pr2_v2,0,0,256,256,8,128,1,1.3323814868927002,1.300087958574295,0.1356661021709442,1.1644218564033508,True,0,True,True,8,0,ok,,2280.0,256.0,256.0,2280.0,1024.0,0.0,0.0,0.0,0.00011702487245202065,0.44093475956469774,9.26581963058561,0.6783947944641113,0.0,9.945739984512329,True,
prefix,pr2_v2,0,0,256,256,8,128,2,1.3251218795776367,1.2931833863258362,0.12836599349975586,1.1648173928260803,True,0,True,True,8,0,ok,,2280.0,256.0,256.0,2280.0,1024.0,0.0,0.0,0.0,0.00011535082012414932,0.4520216668024659,9.272975347936153,0.6255176067352295,0.0,9.89961552619934,True,
prefix,pr2_v2,0,0,512,512,2,128,0,1.204141616821289,1.195698618888855,0.05916023254394531,1.1365383863449097,True,0,True,True,2,0,ok,,1082.0,48.0,48.0,1082.0,256.0,0.0,0.0,0.0,1.1387746781110764e-05,0.04514167411252856,2.2720712921582162,0.08414793014526367,0.0,2.356254816055298,True,
