policy,matched_configs,validation_rows,mean_jct,p95_jct,throughput,ready_queue_wait,region_utilization,memory_occupancy,resume_prefill_tokens,cache_hit_tokens,local_context_bytes,remote_context_bytes,remote_kv_bytes,tool_latency_hidden,artifact_hit_rate,exact_command_hit_rate,stp_wasted_work_overhead,stp_safety_violations,starvation_count,invalid_selection_rate
reactive_admission,320,1340,76.89010576732873,134.4730632066803,0.13042464351161173,3407.09324878361,0.609403428400009,12814702736.684578,0.0,0.0,0.0,0.0,286211036381.1025,0.0,0.0,0.0,0.0,0,0.0,0.0
acd_nisp,320,1340,76.89010576732873,134.4730632066803,0.13042464351161173,3407.09324878361,0.609403428400009,12814702736.684578,29825.85714285714,3516719.5714285714,108470165504.0,93192601600.0,500836728832.0,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_admission_v4,320,1340,75.935293435476,135.33617200398683,0.14424452346472136,3295.3486900117236,0.6635691321696974,12813607922.754229,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_domain_v4_fixed,320,1340,71.0112163524861,153.64467158043314,0.1308008234752483,3115.645565135572,0.6131575528064892,12815588016.7801,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.0,0,0.0,0.0
taps_unified_v5_fixed,320,1340,73.55511835461223,129.6642312822812,0.14512873168527698,3151.0167877368704,0.6677998034269576,12810617975.21194,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.0,0,0.0,0.0
TAPS-C-v3 + STP-exact,320,1340,70.39783183691307,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,1.4268581867218018,0.0,0.08421052631578947,0.0,0,0.0,0.0
TAPS-C-v3 + STP-AE-top1,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.007376951229632195,0,0.0,0.0
TAPS-C-v3 + STP-AE-top3,320,1340,70.65950543418111,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.7569680213928223,0.031578947368421054,0.0,0.01475390245926439,0,0.0,0.0
TAPS-C-v3 + STP-AE-sandbox,320,1340,70.95519352668724,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.0,0.0,0.0,0.0,0,0.0,0.0
STP-class-upper-bound,320,1340,68.04972368053988,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,0.0,0.0,0.0,0.0,91947580425.17015,7.438066720962524,0.0,0.0,0.0,0,0.0,0.0
full AgentWeaver,320,1340,70.65950543418111,125.74980375780771,0.14502208510274894,3070.2911700534687,0.6673059074817682,12813812578.069653,25388.14285714286,3521157.285714286,163584098304.0,38333145088.0,62221271040.0,0.7569680213928223,0.031578947368421054,0.0,0.01475390245926439,0,0.0,0.0
