row_type,event_id,command_class,actual_artifacts,predicted_artifacts,artifact_top1_hit,artifact_top3_hit,snapshot_hash_available,snapshot_hash_source,validation_rows,artifact_coverage,file_artifact_hit,dir_artifact_hit,grep_artifact_hit,git_artifact_hit,sandbox_test_artifact_hit,read_only_artifact_coverage,sandbox_artifact_coverage,artifact_equivalent_not_class_match
example,astropy__astropy-12907:b0:tool1,python_inspect,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b1:tool5,git_read,[],"[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b2:tool7,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""FILE_CONTENT:astropy/modeling/separable.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b2:tool8,shell_other,[],"[""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:.:*"", ""PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool3,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""FILE_CONTENT:reproduce_issue.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool7,shell_other,[],"[""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:.:*"", ""PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool9,shell_other,[],"[""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:.:*"", ""PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b0:tool5,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""FILE_CONTENT:models.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b0:tool6,list_find,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""FILE_CONTENT:manage.py:*""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b1:tool5,list_find,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:def parse_http_date:20""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b1:tool6,python_inspect,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:django:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool2,grep_search,"[""GREP_INDEX:.:Status\\.""]","[""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=Status"", ""DIRECTORY_LISTING:.:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool7,git_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""FILE_CONTENT:patch.txt:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool8,file_read,"[""FILE_CONTENT:patch.txt:*""]","[""FILE_CONTENT:patch.txt:*"", ""DIRECTORY_LISTING:.:*"", ""GIT_DIFF:.:*""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b3:tool7,grep_search,"[""GREP_INDEX:/path/to/project:default=""]","[""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default="", ""GREP_INDEX:.:default=Enum\\[""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b3:tool8,grep_search,"[""GREP_INDEX:.:default=""]","[""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default="", ""DIRECTORY_LISTING:.:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
