segment_id,context_domain_id,segment_type,segment_tokens,fanout,reuse_count,consumer_llm_nodes,consumer_branches,mutable,shared,shared_ratio,placement_region,replicated,predicted_saved_prefill_tokens,predicted_remote_bytes_saved,actual_cache_hit_tokens,placement_score
010688d5cc45b9cc,2c0145be26b2bf34,repo,2510,9,8,"[""django__django-11999:b1:llm1"", ""django__django-11999:b1:llm2"", ""django__django-11999:b1:llm3"", ""django__django-11999:b1:llm4"", ""django__django-11999:b1:llm5"", ""django__django-11999:b1:llm6"", ""django__django-11999:b1:llm7"", ""django__django-11999:b1:llm8"", ""django__django-11999:b1:llm9""]","[""b1""]",false,true,1.0,8,true,20080,1151467520,931817.7240881806,-57697229.44
02c7f7aacf2766ca,3da0d3379d667081,repo,110,1,0,"[""django__django-12308:b2:llm9""]","[""b2""]",false,true,1.0,0,false,0,0,0.0,-6307.84
02e583f13dac67c4,5f98e7d1ae49c0c7,repo,135,9,8,"[""django__django-13033:b2:llm1"", ""django__django-13033:b2:llm2"", ""django__django-13033:b2:llm3"", ""django__django-13033:b2:llm4"", ""django__django-13033:b2:llm5"", ""django__django-13033:b2:llm6"", ""django__django-13033:b2:llm7"", ""django__django-13033:b2:llm8"", ""django__django-13033:b2:llm9""]","[""b2""]",false,true,1.0,10,true,1080,61931520,50117.68635534039,-3103237.44
03c7f242af20ccfb,2bf79601bcbb5c95,repo,59,10,9,"[""django__django-11848:b0:llm10"", ""django__django-11848:b0:llm11"", ""django__django-11848:b0:llm12"", ""django__django-11848:b0:llm13"", ""django__django-11848:b0:llm14"", ""django__django-11848:b0:llm5"", ""django__django-11848:b0:llm6"", ""django__django-11848:b0:llm7"", ""django__django-11848:b0:llm8"", ""django__django-11848:b0:llm9""]","[""b0""]",false,true,1.0,1,true,531,30449664,24641.195791375692,-1525335.4960000003
03cb405b1a27cd35,2bf79601bcbb5c95,repo,63,7,11,"[""django__django-11848:b0:llm10"", ""django__django-11848:b0:llm11"", ""django__django-11848:b0:llm12"", ""django__django-11848:b0:llm13"", ""django__django-11848:b0:llm14"", ""django__django-11848:b0:llm8"", ""django__django-11848:b0:llm9""]","[""b0""]",false,true,1.0,1,false,693,39739392,32158.84874467675,-1989889.272
03d13065115933c0,852ee7b9bc6517df,history,32,3,2,"[""django__django-11999:b0:llm7"", ""django__django-11999:b0:llm8"", ""django__django-11999:b0:llm9""]","[""b0""]",true,false,0.0,10,false,0,0,0.0,-1835.008
04a0049c2d80e168,852ee7b9bc6517df,system,111,40,39,"[""django__django-11999:b0:llm0"", ""django__django-11999:b0:llm1"", ""django__django-11999:b0:llm2"", ""django__django-11999:b0:llm3"", ""django__django-11999:b0:llm4"", ""django__django-11999:b0:llm5"", ""django__django-11999:b0:llm6"", ""django__django-11999:b0:llm7"", ""django__django-11999:b0:llm8"", ""django__django-11999:b0:llm9"", ""django__django-11999:b1:llm0"", ""django__django-11999:b1:llm1"", ""django__django-11999:b1:llm2"", ""django__django-11999:b1:llm3"", ""django__django-11999:b1:llm4"", ""django__django-11999:b1:llm5"", ""django__django-11999:b1:llm6"", ""django__django-11999:b1:llm7"", ""django__django-11999:b1:llm8"", ""django__django-11999:b1:llm9""]","[""b0"", ""b1"", ""b2"", ""b3""]",false,true,1.0,10,true,4329,248242176,200888.39280765606,-12414144.984000001
04b4921b5bc67d57,e486f200d3318671,history,138,8,7,"[""django__django-12308:b0:llm10"", ""django__django-12308:b0:llm11"", ""django__django-12308:b0:llm12"", ""django__django-12308:b0:llm13"", ""django__django-12308:b0:llm14"", ""django__django-12308:b0:llm7"", ""django__django-12308:b0:llm8"", ""django__django-12308:b0:llm9""]","[""b0""]",true,false,0.0,14,false,0,0,0.0,-7913.472
051fe82324d38097,2bf79601bcbb5c95,repo,94,11,10,"[""django__django-11848:b0:llm10"", ""django__django-11848:b0:llm11"", ""django__django-11848:b0:llm12"", ""django__django-11848:b0:llm13"", ""django__django-11848:b0:llm14"", ""django__django-11848:b0:llm4"", ""django__django-11848:b0:llm5"", ""django__django-11848:b0:llm6"", ""django__django-11848:b0:llm7"", ""django__django-11848:b0:llm8"", ""django__django-11848:b0:llm9""]","[""b0""]",false,true,1.0,1,true,940,53903360,43620.949235203676,-2699618.336
0569cdf842950cac,575e755104494777,history,915,1,0,"[""django__django-13033:b3:llm9""]","[""b3""]",true,false,0.0,10,false,0,0,0.0,-52469.76
06c4aca542ae7b75,852ee7b9bc6517df,history,31,5,4,"[""django__django-11999:b0:llm5"", ""django__django-11999:b0:llm6"", ""django__django-11999:b0:llm7"", ""django__django-11999:b0:llm8"", ""django__django-11999:b0:llm9""]","[""b0""]",true,false,0.0,10,false,0,0,0.0,-1777.664
06e97e5e74ca0a2f,ef031a61f2642850,repo,85,6,5,"[""django__django-11999:b3:llm4"", ""django__django-11999:b3:llm5"", ""django__django-11999:b3:llm6"", ""django__django-11999:b3:llm7"", ""django__django-11999:b3:llm8"", ""django__django-11999:b3:llm9""]","[""b3""]",false,true,1.0,1,false,425,24371200,19722.23768612932,-1223009.24
0734a5d2839992d9,eb6a7e7ea6de5103,repo,5380,4,3,"[""django__django-13033:b0:llm6"", ""django__django-13033:b0:llm7"", ""django__django-13033:b0:llm8"", ""django__django-13033:b0:llm9""]","[""b0""]",false,true,1.0,0,false,16140,925532160,748980.9794214758,-46568978.72
07939be070f30c72,58723b0dacfad96e,history,32,2,1,"[""django__django-13033:b1:llm8"", ""django__django-13033:b1:llm9""]","[""b1""]",true,false,0.0,6,false,0,0,0.0,-1835.008
07e7b700e2ecab56,7d7dc9337ce137bc,repo,188,9,8,"[""django__django-12125:b1:llm1"", ""django__django-12125:b1:llm2"", ""django__django-12125:b1:llm3"", ""django__django-12125:b1:llm4"", ""django__django-12125:b1:llm5"", ""django__django-12125:b1:llm6"", ""django__django-12125:b1:llm7"", ""django__django-12125:b1:llm8"", ""django__django-12125:b1:llm9""]","[""b1""]",false,true,1.0,4,true,1504,86245376,69793.51877632587,-4321545.472
088d8f7376bcc458,e486f200d3318671,repo,236,2,1,"[""django__django-12308:b0:llm13"", ""django__django-12308:b0:llm14""]","[""b0""]",false,true,1.0,14,false,236,13533184,10951.642573944751,-689956.3840000001
08a1a38d3f910a29,6606a13a632ee883,repo,100,3,2,"[""django__django-12125:b0:llm7"", ""django__django-12125:b0:llm8"", ""django__django-12125:b0:llm9""]","[""b0""]",false,true,1.0,3,false,200,11468800,9281.053028766739,-578974.4
08d4e3875daa3b84,ae4af4f6aaf75fd6,repo,55,10,9,"[""django__django-11964:b0:llm10"", ""django__django-11964:b0:llm11"", ""django__django-11964:b0:llm12"", ""django__django-11964:b0:llm13"", ""django__django-11964:b0:llm14"", ""django__django-11964:b0:llm5"", ""django__django-11964:b0:llm6"", ""django__django-11964:b0:llm7"", ""django__django-11964:b0:llm8"", ""django__django-11964:b0:llm9""]","[""b0""]",false,true,1.0,4,true,495,28385280,22970.60624619768,-1421922.92
09b45897ee89ebc0,575e755104494777,history,15,4,3,"[""django__django-13033:b3:llm6"", ""django__django-13033:b3:llm7"", ""django__django-13033:b3:llm8"", ""django__django-13033:b3:llm9""]","[""b3""]",true,false,0.0,10,false,0,0,0.0,-860.16
09db784d241f5e59,a950f3c891c7d34a,history,113,8,7,"[""django__django-11964:b3:llm2"", ""django__django-11964:b3:llm3"", ""django__django-11964:b3:llm4"", ""django__django-11964:b3:llm5"", ""django__django-11964:b3:llm6"", ""django__django-11964:b3:llm7"", ""django__django-11964:b3:llm8"", ""django__django-11964:b3:llm9""]","[""b3""]",true,false,0.0,13,false,0,0,0.0,-6479.872
0a3af1bbdb5d15c0,ae4af4f6aaf75fd6,history,27,11,10,"[""django__django-11964:b0:llm10"", ""django__django-11964:b0:llm11"", ""django__django-11964:b0:llm12"", ""django__django-11964:b0:llm13"", ""django__django-11964:b0:llm14"", ""django__django-11964:b0:llm4"", ""django__django-11964:b0:llm5"", ""django__django-11964:b0:llm6"", ""django__django-11964:b0:llm7"", ""django__django-11964:b0:llm8"", ""django__django-11964:b0:llm9""]","[""b0""]",true,false,0.0,4,false,0,0,0.0,-1548.288
0a51ac81b3cf17eb,5f98e7d1ae49c0c7,history,917,1,0,"[""django__django-13033:b2:llm9""]","[""b2""]",true,false,0.0,10,false,0,0,0.0,-52584.448000000004
0a89135a98ba7f9e,019c7764d40945f1,repo,101,6,5,"[""django__django-11815:b2:llm4"", ""django__django-11815:b2:llm5"", ""django__django-11815:b2:llm6"", ""django__django-11815:b2:llm7"", ""django__django-11815:b2:llm8"", ""django__django-11815:b2:llm9""]","[""b2""]",false,true,1.0,4,false,505,28958720,23434.658897636014,-1453222.744
0aaa4780dac1c839,cd8597b0d096ce04,repo,54,1,0,"[""django__django-11964:b1:llm9""]","[""b1""]",false,true,1.0,12,false,0,0,0.0,-3096.576
0b6eb116a99bf6e5,ae4af4f6aaf75fd6,history,1327,9,8,"[""django__django-11964:b0:llm10"", ""django__django-11964:b0:llm11"", ""django__django-11964:b0:llm12"", ""django__django-11964:b0:llm13"", ""django__django-11964:b0:llm14"", ""django__django-11964:b0:llm6"", ""django__django-11964:b0:llm7"", ""django__django-11964:b0:llm8"", ""django__django-11964:b0:llm9""]","[""b0""]",true,false,0.0,4,false,0,0,0.0,-76095.488
0ba9f69ab4d496d5,eb6a7e7ea6de5103,repo,76,5,4,"[""django__django-13033:b0:llm5"", ""django__django-13033:b0:llm6"", ""django__django-13033:b0:llm7"", ""django__django-13033:b0:llm8"", ""django__django-13033:b0:llm9""]","[""b0""]",false,true,1.0,0,false,304,17432576,14107.200603725443,-875682.944
0bbbbf22a8a2f860,e486f200d3318671,repo,57,8,7,"[""django__django-12308:b0:llm10"", ""django__django-12308:b0:llm11"", ""django__django-12308:b0:llm12"", ""django__django-12308:b0:llm13"", ""django__django-12308:b0:llm14"", ""django__django-12308:b0:llm7"", ""django__django-12308:b0:llm8"", ""django__django-12308:b0:llm9""]","[""b0""]",false,true,1.0,14,true,399,22880256,18515.700792389645,-1146882.408
