trace,segment_type,repeated_context_tokens,total_context_tokens,tool_time_share,llm_time_share,branch_skew,resume_opportunity
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_0.traj.json,system,999,1110,0.8588926956051381,0.14110730439486183,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_0.traj.json,repo,20547,23755,0.8588926956051381,0.14110730439486183,1,20547
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_0.traj.json,history,11046,13840,0.8588926956051381,0.14110730439486183,1,11046
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_1.traj.json,system,777,888,0.1787123236967472,0.8212876763032528,1,777
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_1.traj.json,repo,19997,24546,0.1787123236967472,0.8212876763032528,1,19997
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_1.traj.json,history,306,394,0.1787123236967472,0.8212876763032528,1,306
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_1.traj.json,patch,0,195,0.1787123236967472,0.8212876763032528,1,0
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_2.traj.json,system,999,1110,0.1586092964959041,0.841390703504096,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_2.traj.json,repo,34866,42228,0.1586092964959041,0.841390703504096,1,34866
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_2.traj.json,history,609,783,0.1586092964959041,0.841390703504096,1,609
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_3.traj.json,system,999,1110,0.9041099113988545,0.09589008860114547,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_3.traj.json,repo,16753,18958,0.9041099113988545,0.09589008860114547,1,16753
