run_id,instance_id,branch_id,rollout_id,num_llm_events,num_tool_events,branch_jct,timing_available,branch_jct_variance,branch_jct_mean,branch_jct_std,branch_jct_cv,branch_jct_p50,branch_jct_p95,tool_latency_mean,tool_latency_std,tool_latency_cv,llm_input_tokens_mean,llm_input_tokens_std,llm_input_tokens_cv,llm_output_tokens_mean,llm_output_tokens_std,llm_output_tokens_cv,branch_event_count_mean,branch_event_count_std,branch_event_count_cv,branch_tool_count_mean,branch_tool_count_std,branch_tool_count_cv,branches_have_different_lengths
mini_swe_lite10_r4,astropy__astropy-12907,b0,rollout_0,9,9,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,astropy__astropy-12907,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,astropy__astropy-12907,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,astropy__astropy-12907,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,astropy__astropy-12907,AGGREGATE,,39,39,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27230.75,5250.693781539731,0.19282222419653264,1066.25,125.32632405045638,0.11753934260300715,19.5,0.8660254037844386,0.04441155916843275,9.75,0.4330127018922193,0.04441155916843275,true
mini_swe_lite10_r4,django__django-11815,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11815,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11815,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11815,b3,rollout_3,9,9,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11815,AGGREGATE,,39,39,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73198.5,10757.023136072545,0.14695687939059604,1042.75,202.07223337212858,0.1937878047203343,19.5,0.8660254037844386,0.04441155916843275,9.75,0.4330127018922193,0.04441155916843275,true
mini_swe_lite10_r4,django__django-11848,b0,rollout_0,9,9,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11848,b1,rollout_1,9,9,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11848,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11848,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11848,AGGREGATE,,38,38,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25471.0,7736.703787789733,0.3037455846959182,870.25,137.62698681581313,0.15814649447378698,19.0,1.0,0.05263157894736842,9.5,0.5,0.05263157894736842,true
mini_swe_lite10_r4,django__django-11964,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11964,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11964,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11964,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11964,AGGREGATE,,40,40,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72975.75,34345.8177393915,0.4706469990290131,705.0,65.86729082025464,0.09342878130532573,20.0,0.0,0.0,10.0,0.0,0.0,false
mini_swe_lite10_r4,django__django-11999,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11999,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11999,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11999,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-11999,AGGREGATE,,40,40,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25932.75,2665.7533058218273,0.1027948561499196,1130.5,94.84329180284708,0.08389499496050161,20.0,0.0,0.0,10.0,0.0,0.0,false
mini_swe_lite10_r4,django__django-12125,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12125,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12125,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12125,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12125,AGGREGATE,,40,40,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37632.25,18735.937224689347,0.4978691740379421,829.25,142.65758830149906,0.172032063070846,20.0,0.0,0.0,10.0,0.0,0.0,false
mini_swe_lite10_r4,django__django-12308,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12308,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12308,b2,rollout_2,6,6,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12308,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12308,AGGREGATE,,36,36,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18643.0,5020.477068964662,0.26929555699000496,689.5,192.74400120366911,0.2795416986275114,18.0,3.4641016151377544,0.19245008972987523,9.0,1.7320508075688772,0.19245008972987523,true
mini_swe_lite10_r4,django__django-12708,b0,rollout_0,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12708,b1,rollout_1,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12708,b2,rollout_2,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4,django__django-12708,b3,rollout_3,10,10,0.0,false,,,,,,,,,,,,,,,,,,,,,,
