instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,branches_pruned,duplicate_patch_rate,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,pabb_online_gain_vs_fcfs,oracle_gap
astropy__astropy-12907,launch_all,1,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,launch_all,1,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,launch_all,1,15,146.04636348053901,93394,146.04636348053901,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,,0.9452421166380577
astropy__astropy-12907,launch_all,2,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,launch_all,2,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,launch_all,2,15,146.04636348053901,93394,146.04636348053901,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,,0.14788117212443644
astropy__astropy-12907,launch_all,4,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,launch_all,4,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,launch_all,4,15,146.04636348053901,93394,146.04636348053901,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,,0.013321252778614566
astropy__astropy-12907,fcfs_budget,1,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,fcfs_budget,1,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,fcfs_budget,1,15,126.39437658984711,54910,126.39437658984711,0,0.0,unknown,4,54910,105.33085656166077,21.063520028186343,,0.9367282789577398
astropy__astropy-12907,fcfs_budget,2,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,fcfs_budget,2,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,fcfs_budget,2,15,126.39437658984711,54910,126.39437658984711,0,0.0,unknown,4,54910,105.33085656166077,21.063520028186343,,0.01539246110319417
astropy__astropy-12907,fcfs_budget,4,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,fcfs_budget,4,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,fcfs_budget,4,15,146.04636348053901,93394,146.04636348053901,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,,0.013321252778614566
astropy__astropy-12907,pabb_online,1,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_online,1,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_online,1,15,30.810585609192135,47136,30.810585609192135,0,0.0,unknown,4,47136,12.79662561416626,18.013959995025875,0.7562345221324739,0.7404401903183143
astropy__astropy-12907,pabb_online,2,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_online,2,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_online,2,15,35.74791327215417,57368,35.74791327215417,0,0.0,unknown,4,59834,13.361098051071167,22.98280235828635,0.7171716476900152,0.0
astropy__astropy-12907,pabb_online,4,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_online,4,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_online,4,15,144.10084295521733,87598,144.10084295521733,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,0.013321252778614566,0.0
astropy__astropy-12907,pabb_oracle_upper_bound,1,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_oracle_upper_bound,1,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_oracle_upper_bound,1,15,7.997189736903194,26657,7.997189736903194,0,0.0,unknown,4,26657,1.3141517639160156,6.6830379729871785,,0.0
astropy__astropy-12907,pabb_oracle_upper_bound,2,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_oracle_upper_bound,2,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_oracle_upper_bound,2,15,124.44885606452542,49114,124.44885606452542,0,0.0,unknown,4,54910,105.33085656166077,21.063520028186343,,0.0
astropy__astropy-12907,pabb_oracle_upper_bound,4,5,,,,0,0.0,unknown,4,23680,2.9143266677856445,13.187709390653295,,
astropy__astropy-12907,pabb_oracle_upper_bound,4,10,,,,0,0.0,unknown,4,49015,14.435195922851562,22.75036756923199,,
astropy__astropy-12907,pabb_oracle_upper_bound,4,15,144.10084295521733,87598,144.10084295521733,0,0.0,unknown,4,104153,111.79294991493225,36.56000312129873,,0.0
django__django-11815,launch_all,1,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,launch_all,1,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,launch_all,1,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,launch_all,2,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,launch_all,2,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,launch_all,2,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,launch_all,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,launch_all,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,launch_all,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,fcfs_budget,1,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,fcfs_budget,1,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,fcfs_budget,1,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,fcfs_budget,2,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,fcfs_budget,2,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,fcfs_budget,2,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,fcfs_budget,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,fcfs_budget,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,fcfs_budget,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_online,1,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_online,1,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_online,1,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_online,2,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_online,2,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_online,2,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_online,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_online,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_online,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_oracle_upper_bound,1,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_oracle_upper_bound,1,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_oracle_upper_bound,1,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_oracle_upper_bound,2,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_oracle_upper_bound,2,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_oracle_upper_bound,2,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11815,pabb_oracle_upper_bound,4,5,,,,0,0.0,unknown,4,30530,2.09028697013855,11.30761843157922,,
django__django-11815,pabb_oracle_upper_bound,4,10,,,,0,0.0,unknown,4,64610,5.291024923324585,19.910089385807524,,
django__django-11815,pabb_oracle_upper_bound,4,15,,,,0,0.0,unknown,4,126907,22.109301567077637,32.847511222973274,,
django__django-11848,launch_all,1,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,,
django__django-11848,launch_all,1,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,,
django__django-11848,launch_all,1,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,,
django__django-11848,launch_all,2,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,,
django__django-11848,launch_all,2,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,,
django__django-11848,launch_all,2,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,,
django__django-11848,launch_all,4,5,,,,0,0.0,unknown,4,20887,2.735724687576294,7.770136659572908,,
django__django-11848,launch_all,4,10,,,,0,0.0,unknown,4,43948,5.413947343826294,15.682870726041473,,
django__django-11848,launch_all,4,15,,,,0,0.0,unknown,4,87027,12.460801362991333,22.71774263483789,,
