run_id,policy,config_id,schedule_jsonl,llm_events,cached_tokens,recompute_tokens,local_context_bytes,remote_context_bytes,schedule_remote_kv_bytes,simulator_remote_kv_bytes,schedule_match_error,prefetch_bytes,tool_latency_hidden,eviction_count,completed_sessions,total_sessions,starvation_count
pr4_v11_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,acd_nisp,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v11_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,2758017024,33873502208,153816104960.0,153816104960.0,0.0,0,0.0,0,16,16,0
pr4_v11_taps_c_v3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,TAPS-C-v3,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v11_taps_c_v3_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,10220019712,26411499520,67833765888.0,67833765888.0,0.0,0,0.0,0,16,16,0
pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,TAPS-C-v3 + STP-exact,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,data/schedules/pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64_schedule.jsonl,155,638803,26887,10220019712,26411499520,67833765888.0,67833765888.0,0.0,0,0.0,0,16,16,0
pr4_v11_acd_nisp_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,acd_nisp,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v11_acd_nisp_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5668843,38344,27014529024,298059603968,1911375814656.0,1911375814656.0,0.0,0,0.0,0,128,128,0
pr4_v11_taps_c_v3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,TAPS-C-v3,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v11_taps_c_v3_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5676001,31186,278747062272,46737539072,46737539072.0,46737539072.0,0.0,0,0.0,0,128,128,0
pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32,TAPS-C-v3 + STP-exact,aligned_v10_stratified:ts128:al4:er16:arrbursty:mem32,data/schedules/pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts128_al4_er16_arrbursty_mem32_schedule.jsonl,1303,5676001,31186,278747062272,46737539072,46737539072.0,46737539072.0,0.0,0,0.0,0,128,128,0
pr4_v11_acd_nisp_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16,acd_nisp,aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,data/schedules/pr4_v11_acd_nisp_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16_schedule.jsonl,1303,5677655,29532,325579448320,0,0.0,0.0,0.0,0,0.0,0,128,128,0
pr4_v11_taps_c_v3_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16,TAPS-C-v3,aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,data/schedules/pr4_v11_taps_c_v3_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16_schedule.jsonl,1303,5677655,29532,325579448320,0,0.0,0.0,0.0,0,0.0,0,128,128,0
pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16,TAPS-C-v3 + STP-exact,aligned_v10_stratified:ts128:al32:er1:arrbursty:mem16,data/schedules/pr4_v11_taps_c_v3_stp_exact_aligned_v10_stratified_ts128_al32_er1_arrbursty_mem16_schedule.jsonl,1303,5677655,29532,325579448320,0,0.0,0.0,0.0,0,0.0,0,128,128,0
pr4_v11_acd_nisp_aligned_v10_stratified_ts16_al16_er2_arrpoisson_mem64,acd_nisp,aligned_v10_stratified:ts16:al16:er2:arrpoisson:mem64,data/schedules/pr4_v11_acd_nisp_aligned_v10_stratified_ts16_al16_er2_arrpoisson_mem64_schedule.jsonl,155,654018,11672,18316419072,19187589120,19187589120.0,19187589120.0,0.0,0,0.0,0,16,16,0
