mode,config_id,replicates,schedule_jsonl,cached_tokens,recompute_tokens,local_context_bytes,remote_context_bytes,schedule_remote_kv_bytes,simulator_remote_kv_bytes,schedule_match_error,model_side_latency,tool_latency,completed_sessions,total_sessions,starvation_count
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_gpu_reactive_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,0.0,17665114.0,0.0,0.0,0.0,0.0,0.0,2314.07136624,5818.601275920868,384.0,384.0,0.0
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_naive_wafer_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,0.0,17665114.0,0.0,1012988297216.0,1022505174357.3335,1022505174357.3335,0.0,2321.454774211571,5818.601275920868,384.0,384.0,0.0
acd_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_acd_only_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,17396102.0,269012.0,997562073088.0,15426224128.0,16158118980.266666,16158118980.266666,0.0,749.5370448771175,5818.601275920868,384.0,384.0,0.0
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_nisp_only_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,73917.0,17591197.0,4238696448.0,1008749600768.0,1018266477909.3335,1018266477909.3335,0.0,2314.7758788870237,5818.601275920868,384.0,384.0,0.0
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_acd_nisp_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,11187527680.0,11919422532.26667,11919422532.26667,0.0,742.8581495525697,5818.601275920868,384.0,384.0,0.0
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_acd_nisp_taps_c_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,9173772696.0,9880458133.503916,9880458133.503916,0.0,742.8435303252882,5818.601275920868,384.0,384.0,0.0
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,3,data/schedules/pr4_v14_full_agentweaver_aligned_v10_stratified_ts128_al16_er16_arrbursty_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,9173772696.0,9880458133.503916,9880458133.503916,0.0,742.8435303252882,5765.567949616428,384.0,384.0,0.0
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_gpu_reactive_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,0.0,17665114.0,0.0,0.0,0.0,0.0,0.0,2314.07136624,5818.601275920868,384.0,384.0,0.0
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_naive_wafer_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,0.0,17665114.0,0.0,1012988297216.0,1022505174357.3335,1022505174357.3335,0.0,2321.454774211571,5818.601275920868,384.0,384.0,0.0
acd_only,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_acd_only_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,17396102.0,269012.0,997562073088.0,15426224128.0,16158118980.266666,16158118980.266666,0.0,749.5370448771175,5818.601275920868,384.0,384.0,0.0
nisp_only,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_nisp_only_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,73917.0,17591197.0,4238696448.0,1008749600768.0,1018266477909.3335,1018266477909.3335,0.0,2314.7758788870237,5818.601275920868,384.0,384.0,0.0
acd_nisp,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_acd_nisp_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,11187527680.0,11919422532.26667,11919422532.26667,0.0,742.8581495525697,5818.601275920868,384.0,384.0,0.0
acd_nisp_taps_c,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_acd_nisp_taps_c_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,9173772696.0,9880458133.503916,9880458133.503916,0.0,742.8435303252882,5818.601275920868,384.0,384.0,0.0
full_agentweaver,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,3,data/schedules/pr4_v14_full_agentweaver_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem64_r0.jsonl,17470019.0,195095.0,1001800769536.0,9173772696.0,9880458133.503916,9880458133.503916,0.0,742.8435303252882,5765.567949616428,384.0,384.0,0.0
gpu_reactive,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem8,3,data/schedules/pr4_v14_gpu_reactive_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem8_r0.jsonl,0.0,17665114.0,0.0,0.0,0.0,0.0,0.0,2314.07136624,5818.601275920868,384.0,384.0,0.0
naive_wafer,aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem8,3,data/schedules/pr4_v14_naive_wafer_aligned_v10_stratified_ts128_al16_er16_arrclosed_loop_mem8_r0.jsonl,0.0,17665114.0,0.0,1012988297216.0,1022505174357.3335,1022505174357.3335,0.0,2321.454774211571,5818.601275920868,384.0,384.0,0.0
