repo,prev_command_class,next_command_class,safe,total_tool_events,safe_tool_coverage,next_tool_top1_acc,next_tool_top3_acc,potential_latency_saved
astropy,START,python_inspect,True,,,,,
astropy,python_inspect,shell_other,False,,,,,
astropy,shell_other,shell_other,False,,,,,
astropy,shell_other,python_inspect,True,,,,,
astropy,python_inspect,list_find,True,,,,,
astropy,list_find,shell_other,False,,,,,
astropy,shell_other,shell_other,False,,,,,
astropy,shell_other,python_inspect,True,,,,,
astropy,python_inspect,list_find,True,,,,,
astropy,list_find,shell_other,False,,,,,
astropy,START,grep_search,True,,,,,
astropy,grep_search,shell_other,False,,,,,
astropy,shell_other,shell_other,False,,,,,
astropy,shell_other,file_read,True,,,,,
astropy,file_read,file_read,True,,,,,
astropy,file_read,file_write,False,,,,,
astropy,file_write,file_read,True,,,,,
astropy,file_read,shell_other,False,,,,,
astropy,START,grep_search,True,,,,,
astropy,grep_search,shell_other,False,,,,,
aggregate,,,,466,0.5515021459227468,0.3927038626609442,0.7725321888412017,14.773739099502563
