row_type,policy,event_id,actual_command_class,actual_canonical_tool_key,actual_safety_level,predicted_exact_top3,predicted_class_top3,launched_exact_keys,launched_classes,tool_latency,tool_latency_hidden,wasted_speculative_work,speculation_hit,exact_hit,safety_violation,simulated_tool_jct,events,mean_jct,p95_jct,speculation_hit_rate,exact_hit_rate,safety_violations,sandbox_overhead,cost_overhead,p95_jct_gain,mean_jct_gain,stp_gain,class_upper_bound_only,oracle_upper_bound_only
event,no_stp,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_exact_top1,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_exact_top3_budgeted,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_sandbox_top1,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_sandbox_top3_budgeted,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_class_upper_bound,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,stp_oracle_upper_bound,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]","[""list_find"", ""python_inspect"", ""shell_other""]",[],[],1.4176177978515625,0.0,0,false,false,0,1.4176177978515625,,,,,,,,,,,,,
event,no_stp,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_exact_top1,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_exact_top3_budgeted,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_sandbox_top1,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_sandbox_top3_budgeted,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_class_upper_bound,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,stp_oracle_upper_bound,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,UNSAFE,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.18763184547424316,0.0,0,false,false,0,0.18763184547424316,,,,,,,,,,,,,
event,no_stp,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,UNKNOWN,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]","[""list_find"", ""file_read"", ""shell_other""]",[],[],0.19180870056152344,0.0,0,false,false,0,0.19180870056152344,,,,,,,,,,,,,
