split_type,objective,best_fixed_policy,selected_policy_distribution,validation_rows,invalid_selection_rate,gain_over_best_fixed_p95,throughput_gain_over_best_fixed,regret_to_oracle_p95,worst_case_regret,failure_configs
random,p95_opt,taps_admission_v4,"{""acd_nisp"": 24, ""taps_admission_v4"": 40}",64,0.0,0.004646861617257646,-0.03871846951908118,0.03161438199259416,0.19424197549248529,
random,throughput_opt,taps_admission_v4,"{""acd_nisp"": 10, ""taps_admission_v4"": 54}",64,0.0,-0.008461740067671237,0.00047201044725376135,0.04714841885618291,0.358336329900456,
random,balanced,taps_admission_v4,"{""acd_nisp"": 16, ""taps_admission_v4"": 48}",64,0.0,0.005351315090915752,-0.0138304487233114,0.031038249885554255,0.19424197549248529,
leave_arrival_bursty,p95_opt,reactive_admission,"{""acd_nisp"": 35, ""reactive_admission"": 75}",110,0.0,0.0,0.0,0.07264708426108239,0.36639192929192993,
leave_arrival_bursty,throughput_opt,taps_admission_v4,"{""acd_nisp"": 11, ""taps_admission_v4"": 99}",110,0.0,-0.00817842967850525,0.007173121717375768,0.04441843542163152,0.33062822174308554,
leave_arrival_bursty,balanced,taps_admission_v4,"{""acd_nisp"": 26, ""taps_admission_v4"": 84}",110,0.0,0.0067826774983229,-0.016361202296075763,0.02822632471652403,0.33062822174308554,
leave_arrival_closed_loop,p95_opt,taps_admission_v4,"{""acd_nisp"": 43, ""taps_admission_v4"": 58}",101,0.0,0.020588137779467736,-0.03539154961629164,0.02361012873484884,0.36828643975605024,
leave_arrival_closed_loop,throughput_opt,taps_admission_v4,"{""acd_nisp"": 13, ""taps_admission_v4"": 88}",101,0.0,-0.0009649525614690881,0.004362924311256625,0.0487545348656175,0.358336329900456,
leave_arrival_closed_loop,balanced,taps_admission_v4,"{""acd_nisp"": 18, ""taps_admission_v4"": 83}",101,0.0,0.009562387881467613,-0.007501021575085762,0.037124675754056806,0.36828643975605024,
leave_arrival_poisson,p95_opt,reactive_admission,"{""acd_nisp"": 46, ""reactive_admission"": 63}",109,0.0,0.0,0.0,0.06089283129027901,0.3055565381235923,
leave_arrival_poisson,throughput_opt,taps_admission_v4,"{""acd_nisp"": 12, ""taps_admission_v4"": 97}",109,0.0,-0.004922174688932711,0.0007289638918450259,0.0431804273998929,0.3055565381235923,
leave_arrival_poisson,balanced,taps_admission_v4,"{""acd_nisp"": 32, ""taps_admission_v4"": 77}",109,0.0,-0.0009462308566301117,-0.020585166031843842,0.03851856000975387,0.3055565381235923,
leave_session_16,p95_opt,reactive_admission,"{""reactive_admission"": 22}",22,0.0,0.0,0.0,0.22317372483424683,0.3325943868128553,
leave_session_16,throughput_opt,taps_admission_v4,"{""acd_nisp"": 21, ""taps_admission_v4"": 1}",22,0.0,-0.09040196316108681,0.09604933730352815,0.22317372483424683,0.3325943868128553,
leave_session_16,balanced,taps_admission_v4,"{""acd_nisp"": 3, ""taps_admission_v4"": 19}",22,0.0,0.0,0.0,0.13042815070757302,0.36828643975605024,
