split_type,objective,best_fixed_policy,selected_policy_distribution,validation_rows,invalid_selection_rate,fallback_rate,gain_over_best_fixed_p95,throughput_gain_over_best_fixed,gain_over_reactive_p95,regret_to_oracle_p95,worst_case_regret,failure_config_count,failure_configs
random,p95_opt,taps_unified_adaptive_v6,"{""taps_admission_v4"": 3, ""taps_domain_v4"": 15, ""taps_unified_adaptive_v6"": 30, ""taps_unified_v5"": 12}",60,0.0,0.08333333333333333,-0.0027762522392819743,-0.01864327317439892,0.041088504929443284,0.02143076438132836,0.12653147124865002,11,aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64;aligned_v10_stratified:ts128:al16:er8:arrclosed_loop:mem64;aligned_v10_stratified:ts128:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts128:al4:er8:arrclosed_loop:mem16;aligned_v10_stratified:ts32:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er1:arrclosed_loop:mem16;aligned_v10_stratified:ts32:al4:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er8:arrclosed_loop:mem8;aligned_v10_stratified:ts64:al32:er4:arrbursty:mem64;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem32;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem64
random,throughput_opt,taps_unified_adaptive_v6,"{""acd_nisp"": 1, ""taps_admission_v4"": 6, ""taps_domain_v4"": 6, ""taps_unified_adaptive_v6"": 33, ""taps_unified_v5"": 14}",60,0.0,0.08333333333333333,-0.0007705815733323249,-0.014783055623847215,0.04304280113912044,0.019387871061038276,0.12653147124865002,13,aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64;aligned_v10_stratified:ts128:al16:er4:arrbursty:mem32;aligned_v10_stratified:ts128:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts128:al8:er2:arrbursty:mem64;aligned_v10_stratified:ts32:al16:er1:arrpoisson:mem8;aligned_v10_stratified:ts32:al16:er2:arrpoisson:mem8;aligned_v10_stratified:ts32:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er4:arrbursty:mem64;aligned_v10_stratified:ts32:al4:er8:arrbursty:mem64;aligned_v10_stratified:ts64:al4:er8:arrbursty:mem64;aligned_v10_stratified:ts64:al8:er1:arrbursty:mem8;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem32
random,balanced,taps_unified_adaptive_v6,"{""taps_admission_v4"": 5, ""taps_domain_v4"": 13, ""taps_unified_adaptive_v6"": 31, ""taps_unified_v5"": 11}",60,0.0,0.08333333333333333,-0.00018003365313788816,-0.013964656224171257,0.04360636252353969,0.01877818933027031,0.12653147124865002,10,aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64;aligned_v10_stratified:ts128:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts128:al4:er8:arrclosed_loop:mem16;aligned_v10_stratified:ts128:al8:er2:arrbursty:mem32;aligned_v10_stratified:ts32:al4:er16:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er1:arrclosed_loop:mem16;aligned_v10_stratified:ts32:al4:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al4:er8:arrclosed_loop:mem8;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem32;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem64
random,wafer_efficiency,taps_unified_adaptive_v6,"{""acd_nisp"": 1, ""taps_admission_v4"": 9, ""taps_domain_v4"": 9, ""taps_unified_adaptive_v6"": 33, ""taps_unified_v5"": 8}",60,0.0,0.06666666666666667,-0.001112254158819602,-0.014344777626613217,0.04265628742577503,0.019751995745747406,0.12653147124865002,8,aligned_v10_stratified:ts128:al4:er8:arrclosed_loop:mem16;aligned_v10_stratified:ts16:al8:er1:arrbursty:mem32;aligned_v10_stratified:ts32:al16:er2:arrpoisson:mem8;aligned_v10_stratified:ts32:al4:er1:arrclosed_loop:mem16;aligned_v10_stratified:ts32:al4:er8:arrclosed_loop:mem8;aligned_v10_stratified:ts64:al4:er1:arrbursty:mem32;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem32;aligned_v10_stratified:ts64:al8:er4:arrclosed_loop:mem64
leave_arrival_bursty,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 100}",110,0.0,1.0,0.005032692050953501,0.0005356346334648266,0.04813279954135676,0.014660467453694242,0.12653147124865002,0,
leave_arrival_bursty,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 100}",110,0.0,1.0,0.005032692050953501,0.0005356346334648266,0.04813279954135676,0.014660467453694242,0.12653147124865002,0,
leave_arrival_bursty,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 100}",110,0.0,1.0,0.005032692050953501,0.0005356346334648266,0.04813279954135676,0.014660467453694242,0.12653147124865002,0,
leave_arrival_bursty,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 100}",110,0.0,1.0,0.005032692050953501,0.0005356346334648266,0.04813279954135676,0.014660467453694242,0.12653147124865002,0,
leave_arrival_closed_loop,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 91}",101,0.0,1.0,0.013549382206509612,-0.0064444744988861715,0.05249067139431233,0.011605273961199664,0.11914595231139123,0,
leave_arrival_closed_loop,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 91}",101,0.0,1.0,0.013549382206509612,-0.0064444744988861715,0.05249067139431233,0.011605273961199664,0.11914595231139123,0,
leave_arrival_closed_loop,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 91}",101,0.0,1.0,0.013549382206509612,-0.0064444744988861715,0.05249067139431233,0.011605273961199664,0.11914595231139123,0,
leave_arrival_closed_loop,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 91}",101,0.0,1.0,0.013549382206509612,-0.0064444744988861715,0.05249067139431233,0.011605273961199664,0.11914595231139123,0,
leave_arrival_poisson,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 13, ""taps_unified_adaptive_v6"": 96}",109,0.0,1.0,0.0025334126320675013,0.00109054747774692,0.041277121833389,0.01078008029793089,0.06727170145237577,4,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64;aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_arrival_poisson,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 13, ""taps_unified_adaptive_v6"": 96}",109,0.0,1.0,0.0025334126320675013,0.00109054747774692,0.041277121833389,0.01078008029793089,0.06727170145237577,4,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64;aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_arrival_poisson,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 13, ""taps_unified_adaptive_v6"": 96}",109,0.0,1.0,0.0025334126320675013,0.00109054747774692,0.041277121833389,0.01078008029793089,0.06727170145237577,4,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64;aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_arrival_poisson,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 13, ""taps_unified_adaptive_v6"": 96}",109,0.0,1.0,0.0025334126320675013,0.00109054747774692,0.041277121833389,0.01078008029793089,0.06727170145237577,4,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64;aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_session_16,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 12}",22,0.0,1.0,0.026047898166503394,0.009818147946134404,0.07714323096191586,0.008444251543038435,0.04413688054761147,1,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64
leave_session_16,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 12}",22,0.0,1.0,0.026047898166503394,0.009818147946134404,0.07714323096191586,0.008444251543038435,0.04413688054761147,1,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64
leave_session_16,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 12}",22,0.0,1.0,0.026047898166503394,0.009818147946134404,0.07714323096191586,0.008444251543038435,0.04413688054761147,1,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64
leave_session_16,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 12}",22,0.0,1.0,0.026047898166503394,0.009818147946134404,0.07714323096191586,0.008444251543038435,0.04413688054761147,1,aligned_v10_stratified:ts16:al16:er1:arrpoisson:mem64
leave_session_32,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 23, ""taps_unified_adaptive_v6"": 53}",76,0.0,1.0,0.021383841390718934,-0.00906712755851204,0.06624073892050124,0.011196831955639664,0.053720107945048695,3,aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_session_32,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 23, ""taps_unified_adaptive_v6"": 53}",76,0.0,1.0,0.021383841390718934,-0.00906712755851204,0.06624073892050124,0.011196831955639664,0.053720107945048695,3,aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_session_32,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 23, ""taps_unified_adaptive_v6"": 53}",76,0.0,1.0,0.021383841390718934,-0.00906712755851204,0.06624073892050124,0.011196831955639664,0.053720107945048695,3,aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_session_32,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 23, ""taps_unified_adaptive_v6"": 53}",76,0.0,1.0,0.021383841390718934,-0.00906712755851204,0.06624073892050124,0.011196831955639664,0.053720107945048695,3,aligned_v10_stratified:ts32:al32:er1:arrpoisson:mem32;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16;aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem64
leave_session_64,p95_opt,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 104}",104,0.0,1.0,0.0,0.0,0.044482595254710586,0.010008056337695517,0.09771941493030827,0,
leave_session_64,throughput_opt,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 104}",104,0.0,1.0,0.0,0.0,0.044482595254710586,0.010008056337695517,0.09771941493030827,0,
leave_session_64,balanced,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 104}",104,0.0,1.0,0.0,0.0,0.044482595254710586,0.010008056337695517,0.09771941493030827,0,
leave_session_64,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 104}",104,0.0,1.0,0.0,0.0,0.044482595254710586,0.010008056337695517,0.09771941493030827,0,
leave_session_128,p95_opt,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 118}",118,0.0,1.0,0.0,0.0,0.031675719445796995,0.015951205260730558,0.12653147124865002,0,
leave_session_128,throughput_opt,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 118}",118,0.0,1.0,0.0,0.0,0.031675719445796995,0.015951205260730558,0.12653147124865002,0,
leave_session_128,balanced,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 118}",118,0.0,1.0,0.0,0.0,0.031675719445796995,0.015951205260730558,0.12653147124865002,0,
leave_session_128,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_unified_adaptive_v6"": 118}",118,0.0,1.0,0.0,0.0,0.031675719445796995,0.015951205260730558,0.12653147124865002,0,
leave_memory_8,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 6, ""taps_unified_adaptive_v6"": 74}",80,0.0,1.0,0.00580224873765796,-0.0012982759303157064,0.048317181533720846,0.010498353076832391,0.12653147124865002,0,
leave_memory_8,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 6, ""taps_unified_adaptive_v6"": 74}",80,0.0,1.0,0.00580224873765796,-0.0012982759303157064,0.048317181533720846,0.010498353076832391,0.12653147124865002,0,
leave_memory_8,balanced,taps_unified_adaptive_v6,"{""taps_domain_v4"": 6, ""taps_unified_adaptive_v6"": 74}",80,0.0,1.0,0.00580224873765796,-0.0012982759303157064,0.048317181533720846,0.010498353076832391,0.12653147124865002,0,
leave_memory_8,wafer_efficiency,taps_unified_adaptive_v6,"{""taps_domain_v4"": 6, ""taps_unified_adaptive_v6"": 74}",80,0.0,1.0,0.00580224873765796,-0.0012982759303157064,0.048317181533720846,0.010498353076832391,0.12653147124865002,0,
leave_memory_16,p95_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 72}",82,0.0,1.0,0.008836158658300076,-0.0010286607167390627,0.05553300078229202,0.010867790766776474,0.09771941493030827,1,aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16
leave_memory_16,throughput_opt,taps_unified_adaptive_v6,"{""taps_domain_v4"": 10, ""taps_unified_adaptive_v6"": 72}",82,0.0,1.0,0.008836158658300076,-0.0010286607167390627,0.05553300078229202,0.010867790766776474,0.09771941493030827,1,aligned_v10_stratified:ts32:al32:er2:arrpoisson:mem16
