policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,domain_remote_kv_reduction,domain_p95_jct_gain,domain_mean_jct_gain,domain_ready_wait_gain
naive_wafer,8,closed_loop,1,0.05149403697014327,89.35865966177354,74.4402817755535,146.63127549478878,153.6124904879365,429.6452200440626,0.5490651321206629,0.0,0.0,0.0,2.883116883116883,46,8,0.0,0.04411055383196432,0.13874771553343704,0.24169666938397505
acd_nisp,8,closed_loop,1,0.053539018276938286,80.08416844556385,63.557960068743846,139.8724112203086,147.51346906102347,367.7831540016625,0.4883272717894944,0.9831131338296405,0.0,0.0,2.7662337662337664,38,8,0.0,0.04411055383196432,0.13874771553343704,0.24169666938397505
taps_domain,8,closed_loop,1,0.050242875727188774,68.9726730233469,56.03155453741884,133.70256169556853,154.1217560949654,278.8911906239271,0.45826328573688174,0.9831131338296405,0.0,0.0,2.3766233766233764,21,8,0.0,0.04411055383196432,0.13874771553343704,0.24169666938397505
naive_wafer,16,closed_loop,1,0.0844529982646227,141.31623529160822,139.04107479881046,185.940171172524,188.75162893238436,1868.0288948552413,0.8070948601525991,0.0,0.0,0.0,8.470967741935484,75,16,0.0,-0.0454913684454388,0.2613583758379618,0.32288978147722686
acd_nisp,16,closed_loop,1,0.08935512410855492,119.8729507477969,115.11464062749025,169.50930801944932,177.15050154142332,1552.470298490774,0.7001744186991018,0.987216271838243,0.0,0.0,8.425806451612903,73,16,0.0,-0.0454913684454388,0.2613583758379618,0.32288978147722686
taps_domain,16,closed_loop,1,0.07558594239135911,88.54315103344872,90.8305864146161,177.22051840549346,204.78776197308392,1051.1935030612028,0.5922810113429939,0.987216271838243,0.0,0.0,5.916129032258064,75,16,0.0,-0.0454913684454388,0.2613583758379618,0.32288978147722686
naive_wafer,32,closed_loop,1,0.0744377620083628,292.91117061493514,292.9354766081509,313.64721647658575,393.9029552390785,8465.758451636339,0.734938625649115,0.0,0.0,0.0,21.90705128205128,168,32,0.0,-0.18104727253957897,0.23785074540379975,0.26648097292823075
acd_nisp,32,closed_loop,1,0.08109137092574957,248.9118068688545,245.1529820174921,278.95332536838066,359.0927831751717,7109.413707462988,0.6697827466285973,0.9870587946995681,0.0,0.0,21.737179487179485,164,32,0.0,-0.18104727253957897,0.23785074540379975,0.26648097292823075
taps_domain,32,closed_loop,1,0.08488764365573417,189.70794806529082,214.22233402969084,329.4570640921717,369.7879225617097,5214.890225748951,0.7011384623726131,0.9870587946995681,0.0,0.0,16.73076923076923,188,32,0.0,-0.18104727253957897,0.23785074540379975,0.26648097292823075
naive_wafer,64,closed_loop,1,0.09125668493475977,592.1378491506083,598.0463149343966,634.1836742808034,699.4356381244429,36092.15732184523,0.9134250183499587,0.0,0.0,0.0,45.26996805111821,327,64,0.0,-0.07745027282778769,0.18029245926549534,0.19044803132461308
acd_nisp,64,closed_loop,1,0.10377700492398016,497.6696427658615,501.2770442117519,530.0705172903064,601.4742587617086,30152.421755195744,0.8664929256429282,0.9919890102335828,0.0,0.0,45.054313099041536,327,64,0.0,-0.07745027282778769,0.18029245926549534,0.19044803132461308
taps_domain,64,closed_loop,1,0.10342625669577145,407.9435589698238,440.7712649700307,571.1246234724072,610.3924248200663,24409.95239224928,0.8635643302508434,0.9919890102335828,0.0,0.0,39.03833865814696,329,64,0.0,-0.07745027282778769,0.18029245926549534,0.19044803132461308
naive_wafer,8,closed_loop,2,0.058686253408108124,56.21618294610545,37.816834417448305,122.17585046697319,133.48966971350112,164.50540631871786,0.31287676571048934,0.0,0.0,0.0,2.4155844155844157,46,8,-0.06091675270727784,0.02183420952483495,0.07591595940217757,0.22422311724544902
acd_nisp,8,closed_loop,2,0.06062436003352011,51.59304685821814,32.38889755582462,118.15087313922425,129.1982993298845,139.75395497424395,0.27685595691272286,0.9777054132786677,7164616704.0,1.0,2.4025974025974026,53,8,-0.06091675270727784,0.02183420952483495,0.07591595940217757,0.22422311724544902
taps_domain,8,closed_loop,2,0.06009065750067718,47.676311207495004,30.50073328720779,115.57114221956023,129.61996937257263,108.41788754253885,0.2744268695695032,0.9777054132786677,7601061888.0,1.0,2.064935064935065,38,8,-0.06091675270727784,0.02183420952483495,0.07591595940217757,0.22422311724544902
naive_wafer,16,closed_loop,2,0.10360062403998001,76.77991416363993,70.29925337236439,131.1089236273145,149.77316405943694,835.4477568077484,0.49504181550352466,0.0,0.0,0.0,7.632258064516129,97,16,0.34296363180997325,-0.0016354582232906171,0.2159103434924599,0.33034751462877854
acd_nisp,16,closed_loop,2,0.1077781439835731,65.906206964396,57.350994487808805,122.58743401240667,143.27996987094926,688.7206876641279,0.4232161488806651,0.9797067704186634,17401151488.0,1.0,7.541935483870968,107,16,0.34296363180997325,-0.0016354582232906171,0.2159103434924599,0.33034751462877854
taps_domain,16,closed_loop,2,0.1000938965684272,51.67637518042811,43.742564081010684,122.78792063943436,152.43750926647445,461.20352022086,0.3925412391448741,0.9847316318406465,11433189376.0,1.0,5.393548387096774,85,16,0.34296363180997325,-0.0016354582232906171,0.2159103434924599,0.33034751462877854
naive_wafer,32,closed_loop,2,0.09719398164123623,151.31502700783983,145.48308782349937,192.19911980538282,288.419734806346,3934.681856209291,0.4798076229155735,0.0,0.0,0.0,20.615384615384617,215,32,0.538728765666035,-0.16388243739167266,0.30002408758195875,0.3778501645833137
acd_nisp,32,closed_loop,2,0.10274596063531102,129.75972845870066,121.8119768002658,177.42216980381704,272.74107075178796,3296.006361087906,0.42518882239546546,0.9795751717944806,34499297280.0,1.0,20.317307692307693,218,32,0.538728765666035,-0.16388243739167266,0.30002408758195875,0.3778501645833137
taps_domain,32,closed_loop,2,0.10888600352527437,90.82868432299627,88.85905757159722,206.4985474385858,273.9298818228725,2050.6098150831917,0.44992266976295264,0.985751314791993,15913533440.0,1.0,13.121794871794872,219,32,0.538728765666035,-0.16388243739167266,0.30002408758195875,0.3778501645833137
