total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget,baseline_policies,best_policy_by_p95,best_policy_by_throughput,best_policy_by_ready_wait,taps_unified_regret_p95,taps_unified_regret_throughput,taps_unified_regret_ready_wait,ready_queue_pressure,blocked_session_fraction,region_utilization,domain_cache_hit_rate,remote_kv_pressure,memory_pressure,session_pressure,region_pressure,p95_jct,regime
16,4,1,poisson,8,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_admission_v4,reactive_admission,reactive_admission,0.03809306557417689,-0.15941893171092303,0.23918498779870812,10.876289795212333,0.3545986404347592,0.7405763450854495,0.987216271838243,0.0,0.6965045928955078,4.0,4.0,99.65047271785977,ADMISSION_STARVED
16,16,4,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_domain_v4,taps_domain_v4,taps_domain_v4,0.03366150542240815,-0.0541318877407627,0.06436872815173504,18.266524486875753,0.1033547356154949,0.32159551435265776,0.9714837236551548,53.78352085805705,0.17412614822387695,1.0,4.0,99.37028842530485,TAIL_RISK
32,8,2,closed_loop,16,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_domain_v4,taps_unified_v5,taps_unified_v5,0.020895808153982003,0.0,0.0,14.328087949194977,0.25042347097106404,0.5314187566805106,0.9870587946995681,25.831610184430556,0.6160187721252441,4.0,4.0,114.87788216629784,DOMAIN_HOT
32,16,4,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_domain_v4,taps_admission_v4,taps_domain_v4,0.049129336605853745,-0.031434371929391164,0.11180440429144793,20.575303566667465,0.13052761491103496,0.34670981265575906,0.983395637570364,57.630293060475296,0.30800938606262207,2.0,4.0,113.27296599364449,TAIL_RISK
64,4,4,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_unified_v5,taps_domain_v4,reactive_admission,0.0,-0.014066349045265436,0.0,0.0,0.5046851045991416,0.46227209943598196,0.9898827125171751,16.65831480193389,0.48195695877075195,16.0,1.0,76.95776139636598,ADMISSION_STARVED
64,8,4,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_admission_v4,reactive_admission,taps_domain_v4,0.004015710521035194,-0.011308692895275377,0.20723448847201062,3.875039650581156,0.34569775587067186,0.6337891713289646,0.9893451020568996,54.21826642041892,0.48195695877075195,8.0,2.0,78.99661780828258,ADMISSION_STARVED
64,16,1,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_unified_v5,reactive_admission,taps_domain_v4,0.0,-0.00694897891303495,0.07595266157226793,73.71166323215651,0.1003396863789471,0.9909029383982486,0.9898827125171751,0.0,0.48195695877075195,4.0,16.0,158.4608990498276,TAIL_RISK
64,16,2,bursty,32,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_unified_v5,taps_domain_v4,taps_unified_v5,0.0,-0.018293803964411864,0.0,34.40697649095349,0.1521355741710136,0.8919421104468321,0.9893937576881037,25.620248966067837,0.48195695877075195,4.0,8.0,104.91906740006878,TAIL_RISK
64,16,4,bursty,8,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_admission_v4,taps_domain_v4,taps_unified_v5,0.33035579495731443,-0.44867043681549734,0.0,12.243946158207015,0.11076885698042586,0.38136431518251823,0.9862069262476848,59.713454936453935,0.9841680526733398,4.0,4.0,145.01353279884063,MEMORY_PRESSURE
64,16,4,bursty,16,"acd_nisp,reactive_admission,taps_admission_v4,taps_domain_v4,taps_unified_v5",taps_unified_v5,taps_domain_v4,taps_domain_v4,0.0,-0.07525554577984653,0.019951064991415465,19.981495447893725,0.17019045590170145,0.6240016629283528,0.9898827125171751,56.73325543863737,0.9639139175415039,4.0,4.0,96.82865170504112,MEMORY_PRESSURE
