config_id,split,best_policy_by_objective,best_policy_by_p95,rule_selected_policy,rule_confidence,nearest_neighbor_selected_policy,nearest_neighbor_confidence,fallback_policy,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,session_pressure,region_pressure
aligned:ts128:al16:er4:arrbursty:mem32,train,taps_unified_v5,taps_unified_v5,taps_unified_v5,0.5193147180559945,taps_unified_v5,1.0,taps_admission_v4,128,16,4,bursty,32,8.0,4.0
aligned:ts16:al16:er4:arrbursty:mem32,train,taps_domain_v4,taps_domain_v4,taps_domain_v4,0.5193147180559945,taps_domain_v4,1.0,taps_admission_v4,16,16,4,bursty,32,1.0,4.0
aligned:ts32:al16:er4:arrbursty:mem32,train,taps_domain_v4,taps_domain_v4,taps_unified_v5,0.5193147180559945,taps_domain_v4,1.0,taps_admission_v4,32,16,4,bursty,32,2.0,4.0
aligned:ts64:al16:er16:arrbursty:mem32,train,taps_unified_v5,taps_unified_v5,taps_unified_v5,0.5193147180559945,taps_unified_v5,1.0,taps_admission_v4,64,16,16,bursty,32,4.0,1.0
aligned:ts64:al16:er4:arrbursty:mem32,train,taps_unified_adaptive_v6,taps_unified_adaptive_v6,taps_unified_v5,0.5193147180559945,taps_unified_adaptive_v6,1.0,taps_admission_v4,64,16,4,bursty,32,4.0,4.0
aligned:ts64:al16:er4:arrbursty:mem64,train,taps_unified_adaptive_v6,taps_unified_adaptive_v6,taps_unified_adaptive_v6,0.5193147180559945,taps_unified_adaptive_v6,1.0,taps_admission_v4,64,16,4,bursty,64,4.0,4.0
aligned:ts64:al16:er4:arrbursty:mem8,train,taps_admission_v4,taps_admission_v4,taps_admission_v4,0.5193147180559945,taps_admission_v4,1.0,taps_admission_v4,64,16,4,bursty,8,4.0,4.0
aligned:ts64:al16:er4:arrpoisson:mem32,train,taps_domain_v4,taps_domain_v4,taps_domain_v4,0.5193147180559945,taps_domain_v4,1.0,taps_admission_v4,64,16,4,poisson,32,4.0,4.0
aligned:ts64:al16:er8:arrbursty:mem32,train,taps_domain_v4,taps_domain_v4,taps_domain_v4,0.5193147180559945,taps_domain_v4,1.0,taps_admission_v4,64,16,8,bursty,32,4.0,2.0
aligned:ts64:al32:er4:arrbursty:mem32,train,taps_unified_v5,taps_unified_v5,taps_unified_v5,0.5193147180559945,taps_unified_v5,1.0,taps_admission_v4,64,32,4,bursty,32,2.0,8.0
aligned:ts64:al8:er4:arrbursty:mem32,train,taps_unified_adaptive_v6,taps_unified_adaptive_v6,taps_domain_v4,0.5193147180559945,taps_unified_adaptive_v6,1.0,taps_admission_v4,64,8,4,bursty,32,8.0,2.0
