total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,strongest_non_oracle_baseline_p95_policy,strongest_non_oracle_baseline_throughput_policy,strongest_non_oracle_baseline_ready_wait_policy,strongest_baseline_p95,strongest_baseline_throughput,strongest_baseline_ready_wait,p95_gain_over_reactive,p95_gain_over_strongest_baseline,throughput_gain_over_strongest_baseline,ready_wait_gain_over_strongest_baseline,regime_counts,policy_profile_counts,regime_transition_counts,regime_switches,per_regime_policy_decisions
16,4,1,poisson,8,reactive_admission,0.1185779125002157,31.512622393561845,20.53237927447087,102.08144231142086,125.89341113748684,138.70504482301283,9.558588932248629,0.9291601548728932,0.4448952897976538,0.987216271838243,0.0,0.0,49,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,,,,,
16,4,1,poisson,8,acd_nisp,0.1185779125002157,31.512622393561845,20.53237927447087,102.08144231142086,125.89341113748684,138.70504482301283,9.558588932248629,0.9291601548728932,0.4448952897976538,0.987216271838243,0.0,0.0,49,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,,,,,
16,4,1,poisson,8,taps_domain_v4,0.1165770711403844,31.169451137600564,17.769663866327875,101.1033643192528,126.75833597313222,133.21430472763234,11.874467045350887,0.9134818381562486,0.4373882855179177,0.987216271838243,0.0,0.0,45,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,,,,,
16,4,1,poisson,8,taps_admission_v4,0.09221747455419371,34.04287903564608,24.699279831118794,96.13194386217964,122.7941808689433,179.18915109636066,48.12911646417792,0.7226034016968029,0.3459929357933427,0.987216271838243,0.0,0.0,138,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,,,,,
16,4,1,poisson,8,taps_unified_v5,0.09764468876520016,33.898785679052885,24.94515282629583,95.71011053605082,127.28500863809865,176.88365739086942,38.48560733279219,0.7651303031281125,0.3663554298555929,0.987216271838243,0.0,0.0,133,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,,,,,
16,4,1,poisson,8,taps_unified_adaptive_v6,0.08851337043721617,33.70365165962098,23.082689841056435,100.31185663704936,142.42753428557324,173.76151307995906,55.389859474104234,0.693578553118954,0.33209541946996846,0.987216271838243,0.0,0.0,128,5982928896,0,0,8510,657180,16,16,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_unified_v5,reactive_admission,taps_domain_v4,95.71011053605082,0.1185779125002157,133.21430472763234,0.01733503792954851,-0.04808004165103555,-0.253542514192471,-0.30437578333069293,"{""ADMISSION_STARVED"": 210, ""BALANCED"": 1067, ""TAIL_RISK"": 4}","{""admission_starved"": 210, ""balanced"": 1067, ""tail_risk"": 4}","{""ADMISSION_STARVED->BALANCED"": 34, ""BALANCED->ADMISSION_STARVED"": 34, ""BALANCED->TAIL_RISK"": 2, ""TAIL_RISK->BALANCED"": 1}",71,"{""ADMISSION_STARVED:admit"": 138, ""ADMISSION_STARVED:admit_score"": 72, ""BALANCED:admit"": 728, ""BALANCED:admit_score"": 63, ""BALANCED:schedule_score"": 276, ""TAIL_RISK:schedule_score"": 4}"
16,16,4,bursty,32,reactive_admission,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,,,,,
16,16,4,bursty,32,acd_nisp,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,,,,,
16,16,4,bursty,32,taps_domain_v4,0.11649459610149648,43.75295353427668,37.18446797758381,96.02533492265019,129.081408277202,273.4517046064486,96.2655823786549,0.3394223502008114,0.10926971136454607,0.9797623518454536,36961476608.0,1.0,86,5982928896,0,0,13472,652218,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,,,,,
16,16,4,bursty,32,taps_admission_v4,0.11046647527881633,52.04076788138167,41.86028075768165,111.82235856970152,138.23673040322066,405.44374790830165,102.15581682289678,0.32291666414932924,0.10361544889737563,0.964908591085941,45308411904.0,1.0,111,5982928896,0,0,23360,642330,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,,,,,
