trial,split,objective,feasible,w_tail,w_domain,w_batch,w_resume,w_age,w_short,w_remote,w_switch,w_mem,ready_depth_factor,memory_pressure_threshold,admission_domain,admission_llm,admission_stall,admission_tail,admission_tool_penalty,admission_mem,slo_target,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error
1,train,112.034963052436,True,0.5,1,0,0,0.05,0.5,0.1,0.5,0.1,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26755199925422973,50.48267851857614,47.842237984219935,101.96518254864618,163.6899840545249,1587.712054849608,30.14484501571905,0.9341994429677385,0.1957820979178079,0.9947290712704813,185106833408.0,1.0,429,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
2,train,114.28409405116362,True,2.0,2,1,1,0.1,0,0.1,0.1,0,2,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2664189256436222,50.36862620885643,44.51760453721637,104.23701070195669,165.11442413239396,1580.4738153744265,28.756602911522656,0.9301795447314957,0.1949529673966442,0.9947290712704813,172885164032.0,1.0,498,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
3,train,115.26878469553125,True,1.0,2,0.5,0.5,0.05,0.5,0.5,0.5,0,2,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26537197034092197,50.112951444564615,45.64698946411915,105.27273160365242,167.53462531801108,1564.1074389794314,29.85923509715331,0.9265274955914846,0.19418685424420956,0.9947290712704813,173523460096.0,1.0,465,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
4,train,97.00286541825511,True,1.0,0,0,1,0.01,0,0.5,0.5,0.1,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2634750017706412,49.94388531252774,46.95539780082407,87.04043585592663,159.70698153591243,1553.2500685476311,32.73737634905827,0.9199425861617542,0.19279874095255428,0.9947290712704813,180951056384.0,1.0,492,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
5,train,114.08319652830389,True,1.0,1,0.5,0,0.01,0,0.1,0.5,0,2,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2618912255679425,50.8122402879777,44.91650143739067,103.94693759326515,166.66769241934867,1608.8458101469878,31.357484842283405,0.9143912066589068,0.1916398072556995,0.9947290712704813,176746422272.0,1.0,396,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
6,train,104.68106163131345,True,2.0,0,0,0.5,0.1,0,0,0,0.1,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26550277800090943,47.31214688529359,42.49828250892371,95.24518253205484,146.78962548748558,1384.7683748699262,29.7898310722775,0.9270750243199174,0.19428257320040296,0.9947290712704813,191037923328.0,1.0,559,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
7,train,115.26945502142026,True,1.0,0,1,0.5,0.01,0.5,0,0.5,0.5,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26979638724555255,50.04622787027834,46.1037393123633,105.28718908608914,170.6824028251499,1559.732216509909,27.408303599902062,0.9420856025298532,0.19742443656864025,0.9947290712704813,194506203136.0,1.0,469,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
8,train,116.17325848266067,True,2.0,1,1,0.5,0.1,1,0,0,0.1,2,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2671155015377358,50.129618136121636,46.46735211235486,106.17404640559012,165.09395168745235,1565.0262959110794,28.659496514770233,0.9327691409334543,0.19546268920881002,0.9947290712704813,203085725696.0,1.0,556,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
9,train,93.09076808672874,True,4.0,1,0,0.5,0.05,1,0.1,0.1,0.5,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26707285956981636,46.61904094229148,44.02087245651213,83.79366718422743,163.25376619034165,1340.4295708736297,30.86233377503381,0.9325365499409333,0.19543148580176445,0.9947290712704813,187042652160.0,1.0,531,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
10,train,114.34236478391286,True,2.0,0,1,0.5,0.05,0,0.5,0.1,0,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2692638521803811,50.409678655551154,45.03256042498507,104.28735543802065,163.88694407027157,1583.24428079617,22.756034569514547,0.9399618458002864,0.19703475219863126,0.9947290712704813,144263397376.0,1.0,529,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
11,train,115.97553236897757,True,0.5,2,1,0.5,0.05,1,0,0,0.1,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26217228125595465,50.198228868726176,46.87217399712272,105.96210382335792,178.08181623320525,1569.4334244950512,35.54583725519117,0.9154909537516207,0.19184547072442398,0.9947290712704813,199877386240.0,1.0,537,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
12,train,114.56412439332492,True,4.0,0,0.5,1,0.01,0.5,0,0.5,0,4,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.27011705633932204,50.575849384466935,48.553817432639164,104.47596622206547,164.5017462528312,1593.5592064227799,28.00626498615525,0.9432779076804668,0.19765908728360623,0.9947290712704813,208263602176.0,1.0,499,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
13,train,102.60844565491983,True,0.5,1,0,1,0.01,0.5,0.5,0.1,0,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26704383091919864,46.24607728654907,43.11107060264915,93.38593458070194,165.35036792051883,1316.5977178545957,28.720609448110046,0.9323957382493419,0.19541024398659063,0.9947290712704813,179478462464.0,1.0,531,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
14,train,107.52940678536211,True,2.0,0,0,0.5,0.05,0.5,0,0,0.5,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26699507363111535,50.36026051854595,45.00281004529438,97.48405418901602,161.72636804261532,1579.8172069091165,30.485217171520297,0.932317527512973,0.19537456567293027,0.9947290712704813,197126021120.0,1.0,553,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
15,train,111.96832656104458,True,0.5,0,1,0.5,0.01,1,0.1,0.5,0,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2730426741241709,46.93409239013287,46.09043916285467,102.60881235043043,174.56783259971456,1360.5659095617177,22.023384197508157,0.953410060596879,0.19979991818458964,0.9947290712704813,192433446912.0,1.0,470,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
16,train,96.16341765238046,True,1.0,0.5,0,0.5,0.01,0,0.5,0,0,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2686874620652409,46.5134812067988,41.15335174553317,86.88759015722722,159.30494964251406,1333.9371815505795,24.471626783666288,0.9378977572413214,0.1966129767446044,0.9947290712704813,134355902464.0,1.0,557,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
17,train,114.64010043477639,True,2.0,2,0.5,0,0.01,0,0.1,0.5,0,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2640530999948192,50.87901488177122,45.78801646731188,104.49070276842161,165.96231065761455,1613.153661525774,28.934689720809324,0.9219040189955766,0.1932217663212592,0.9947290712704813,169890947072.0,1.0,409,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
18,train,93.69059391727939,True,1.0,2,0,1,0.05,1,0,0.1,0,1,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2674701994052952,46.796844988248914,42.12532225774072,84.35797193957013,163.68777623084054,1351.7927409649865,30.14898319266856,0.9339409575146541,0.1957222405963212,0.9947290712704813,190300422144.0,1.0,530,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
19,train,115.60750870975383,True,1.0,0.5,0.5,1,0.01,1,0.5,0,0,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26645763675206713,50.1530093647366,47.30502725568943,105.60355260048172,169.82614952143075,1566.5675923549177,30.12449162593932,0.9304258068947465,0.19498129438371636,0.9947290712704813,194234163200.0,1.0,538,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
