config_id,w_l,w_r,w_c,w_a,w_s,lambda_s,lambda_n,tau,prefetch_window,memory_budget_bytes,noc_budget_bytes,objective,mean_ratio_vs_acd_nisp,p95_ratio_vs_acd_nisp,mean_gain_vs_acd_nisp,p95_gain_vs_acd_nisp,mean_jct,p95_jct,completed_sessions,expected_sessions,no_starvation,split
0,1.0,1.0,0.5,0.05,0.5,0.1,0.1,10.0,5.0,68719476736.0,137438953472.0,1.1713615473998238,0.8037850219860105,1.0909830452012228,0.19621497801398946,-0.0909830452012228,39.08891053776194,97.41543339687374,48,48,True,train
1,0.5,0.5,0.5,0.05,0.5,0,0,5,5.0,68719476736.0,137438953472.0,1.1521669937647163,0.8134944304956119,1.0708175507151552,0.18650556950438812,-0.07081755071515516,39.59352862862122,95.80961012187721,48,48,True,train
2,1.0,0.5,0.0,0.05,1.0,0,0,10,5.0,68719476736.0,137438953472.0,1.1646149936843762,0.7937233845462086,1.0852426552297554,0.2062766154537914,-0.08524265522975538,38.45370648494199,97.03960519177403,48,48,True,train
3,0.0,1.0,0.5,0.1,1.0,0.1,0.1,5,5.0,68719476736.0,137438953472.0,1.1549451514175417,0.8252806197462008,1.0724170894429217,0.17471938025379918,-0.07241708944292169,40.27481295559784,95.94605794631593,48,48,True,train
4,2.0,1.0,1.0,0.05,0.5,0.1,0.1,30,5.0,68719476736.0,137438953472.0,1.1860588622620623,0.7910912047068985,1.1069497417913725,0.20890879529310147,-0.10694974179137251,38.35015297443377,98.78516240329986,48,48,True,train
5,0,0,0,0.01,0,0,0,1,5.0,68719476736.0,137438953472.0,1.0998986176026422,0.999842146604617,0.9999144029421805,0.0001578533953829897,8.559705781951976e-05,49.16542459034032,88.96989632149109,48,48,True,train
6,0,0,0,0.1,0.5,0,0.5,30,5.0,68719476736.0,137438953472.0,1.1384133567112757,0.878259212215983,1.0505874354896774,0.12174078778401698,-0.05058743548967737,43.17760446546984,93.71743948663179,48,48,True,train
7,0,0,0.5,0.05,1.0,0.1,0.5,10,5.0,68719476736.0,137438953472.0,1.147198141264609,0.800781499351852,1.0671199913294238,0.19921850064814794,-0.06711999132942381,38.885680354137264,95.58497029797357,48,48,True,train
8,0,0,1.0,0.05,0,0.5,0.5,5,5.0,68719476736.0,137438953472.0,1.1194010619781087,0.9579551452978272,1.023605547448326,0.042044854702172785,-0.023605547448326103,47.07928130671053,90.90003712784049,48,48,True,train
9,0,0.5,0,0.01,1.0,0,0.5,1,5.0,68719476736.0,137438953472.0,1.1463466757753056,0.7743218407753656,1.068914491697769,0.2256781592246344,-0.06891449169776909,37.37615389193684,95.85044691347666,48,48,True,train
10,0,0.5,0.5,0.01,0,0.1,0.1,30,5.0,68719476736.0,137438953472.0,1.138074781394955,0.9083877052515434,1.0472360108698007,0.09161229474845656,-0.04723601086980067,44.615042155255985,93.03521861339146,48,48,True,train
11,0,0.5,0.5,0.1,0.5,0.5,0.1,10,5.0,68719476736.0,137438953472.0,1.141672687326059,0.8661666730540805,1.055056020020651,0.13383332694591954,-0.05505602002065091,42.50937235554217,94.2191940717184,48,48,True,train
12,0,0.5,1.0,0.1,0,0,0.1,5,5.0,68719476736.0,137438953472.0,1.115772629447295,0.9766978358380152,1.0181028458634935,0.02330216416198483,-0.018102845863493533,48.088267132388026,90.33523641115677,48,48,True,train
13,0,1.0,0,0.05,0.5,0.1,0.1,1,5.0,68719476736.0,137438953472.0,1.1565645026792706,0.8338457129840073,1.0731799313808699,0.16615428701599266,-0.07317993138086987,40.693842547935795,96.10754490469516,48,48,True,train
14,0,1.0,0.5,0.01,1.0,0.5,0,30,5.0,68719476736.0,137438953472.0,1.142481010275735,0.767365420889305,1.0657444681868045,0.23263457911069496,-0.06574446818680446,37.027972611966426,95.57913614010286,48,48,True,train
15,0,1.0,1.0,0.01,0.5,0,0,10,5.0,68719476736.0,137438953472.0,1.1510945897227804,0.7712029160591248,1.0739742981168678,0.22879708394087517,-0.07397429811686784,37.22467471940175,96.18229811148424,48,48,True,train
16,0,1.0,1.0,0.1,1.0,0.1,0,5,5.0,68719476736.0,137438953472.0,1.1590567348544736,0.8255407002350186,1.0765026648309717,0.17445929976498142,-0.07650266483097168,40.20585883272586,96.21813687368441,48,48,True,train
17,0,2.0,0,0.1,0,0.5,0,1,5.0,68719476736.0,137438953472.0,1.1024529423728935,0.9979026444261185,1.0026626779302816,0.0020973555738814653,-0.0026626779302816317,49.11703792009024,89.20664307136894,48,48,True,train
18,0,2.0,0.5,0.05,0.5,0.5,0.5,30,5.0,68719476736.0,137438953472.0,1.1605194567396118,0.8250372713432694,1.0780157296052848,0.17496272865673057,-0.0780157296052848,40.17466338428889,96.377365769563,48,48,True,train
19,0,2.0,1.0,0.05,0,0,0.5,10,5.0,68719476736.0,137438953472.0,1.1131450595536667,0.955618044210794,1.0175832551325874,0.04438195578920601,-0.017583255132587405,46.9744371122175,90.45487958281097,48,48,True,train
20,0.5,0,0,0.01,0.5,0.1,0.5,5,5.0,68719476736.0,137438953472.0,1.1576596643706818,0.768559348667053,1.0808037295039765,0.231440651332947,-0.08080372950397652,37.17080410078625,96.86324117853584,48,48,True,train
21,0.5,0,0,0.1,1.0,0.5,0.5,1,5.0,68719476736.0,137438953472.0,1.153093798645765,0.8262306871994931,1.0704707299258156,0.1737693128005069,-0.0704707299258156,40.263580755108876,95.83453674226023,48,48,True,train
22,0.5,0,0.5,0.1,0.5,0,0.1,30,5.0,68719476736.0,137438953472.0,1.1470240011386057,0.852582801507022,1.0617657209879034,0.14741719849297796,-0.06176572098790345,41.81736274545652,94.88949314370029,48,48,True,train
23,0.5,0,1.0,0.05,1.0,0.1,0.1,10,5.0,68719476736.0,137438953472.0,1.1585000567050914,0.7951884263708469,1.0789812140680066,0.20481157362915314,-0.07898121406800662,38.494814132763835,96.53454514227995,48,48,True,train
24,0.5,0.5,0,0.05,0,0.5,0.1,5,5.0,68719476736.0,137438953472.0,1.122184753742021,0.9523187715751874,1.0269528765845024,0.047681228424812594,-0.026952876584502405,46.95105816801885,91.1613497269244,48,48,True,train
25,0.5,0.5,0.5,0.01,1.0,0,0.1,1,5.0,68719476736.0,137438953472.0,1.1417885690363103,0.7605428321291504,1.0657342858233954,0.23945716787084959,-0.06573428582339536,36.657814278914934,95.55015305520934,48,48,True,train
26,0.5,0.5,1.0,0.01,0,0.1,0,30,5.0,68719476736.0,137438953472.0,1.125573664671779,0.8069539732918134,1.0448782673425978,0.1930460267081866,-0.04487826734259781,39.35014219621688,92.36841639207745,48,48,True,train
27,0.5,0.5,1.0,0.1,0.5,0.5,0,10,5.0,68719476736.0,137438953472.0,1.14922216153069,0.845779372331553,1.0646442242975347,0.15422062766844702,-0.06464422429753469,41.44442647006083,95.06054077892924,48,48,True,train
28,0.5,1.0,0,0.1,0,0,0,5,5.0,68719476736.0,137438953472.0,1.1085412691090921,0.9711786852327846,1.0114234005858136,0.02882131476721539,-0.011423400585813592,47.90373813596417,89.86241999069516,48,48,True,train
