run_id,scenario,instance_id,policy,mesh_rows,mesh_cols,branch_fanout,jct,time_to_first_success,success_any,prefill_tokens,prefill_tokens_avoided,kv_hit_tokens,kv_miss_tokens,noc_bytes,avg_hops,hotspot_ratio,region_utilization,tool_blocked_region_time,blocked_compute_time_avoided,state_migration_exposed_latency,branch_wasted_tokens,safe_cancellation_savings,hot_count,warm_count,cold_count,resume_prefill_tokens,p50,p95,p99
h100calib_pr2_v2_1,S1_context_heavy,S1_context_heavy,acd_bes,4,4,4,19.596593229259295,18.280017241999044,True,37056,33028,33028,37056,1893957632.0,0.9166666666666666,1.4978274863212102,0.4085624020867613,0.0,43.24887452031326,0.0,54827,0,0,0,0,4028,,,
h100calib_pr2_v2_1,S2_branch_heavy,S2_branch_heavy,acd_bes,4,4,8,20.5648696911307,16.09163455068028,True,41069,33288,33288,41069,1908867072.0,0.9166666666666666,2.240439093484419,0.4213220883542153,0.0,80.1815136512736,0.0,70626,0,0,0,0,7781,,,
h100calib_pr2_v2_1,S3_tool_stall_heavy,S3_tool_stall_heavy,acd_bes,4,4,4,72.89644749122549,52.810271370335734,True,20782,16644,16644,20782,954433536.0,0.5,1.4873060648801129,0.11860977378922602,0.0,212.07032941830755,0.0,30231,0,0,0,0,4138,,,
h100calib_pr2_v2_1,S4_low_reuse_negative,S4_low_reuse_negative,acd_bes,4,4,4,19.58300260448631,19.58300260448631,True,6943,4356,4356,6943,249790464.0,1.0833333333333333,1.6363636363636365,0.40386666711166047,0.0,41.00058863538078,0.0,10839,0,0,0,0,2587,,,
h100calib_pr2_v2_1,S5_tool_dominated_negative,S5_tool_dominated_negative,acd_bes,4,4,2,377.2019606054202,377.2019606054202,True,3338,2178,2178,3338,124895232.0,1.6666666666666667,1.75,0.018318156368063422,0.0,738.7072413844603,0.0,3545,0,0,0,0,1160,,,
h100calib_pr2_v2_1,AGGREGATE,AGGREGATE,acd_bes,4,4,4.4,101.9685747243044,96.79337727458432,True,109188,89494,89494,109188,5131943936.0,1.0166666666666666,2.240439093484419,0.27413581754198535,0.0,1115.2085476097354,0.0,170068,0,0,0,0,19694,20.5648696911307,316.34085798258116,365.02974008085243
h100calib_pr2_v2_1,S1_context_heavy,S1_context_heavy,acd_nisp,4,4,4,19.556591302944486,18.238723455900978,True,34280,37056,37056,34280,1893957632.0,0.9166666666666666,1.4978274863212102,0.4073009431101006,0.0,43.24887452031326,0.0,54827,0,4,0,0,1252,,,
h100calib_pr2_v2_1,S2_branch_heavy,S2_branch_heavy,acd_nisp,4,4,8,20.529869004339815,16.056672875914003,True,35517,41069,41069,35517,1908867072.0,0.9166666666666666,2.240439093484419,0.42006428873147095,0.0,80.1815136512736,0.0,70626,0,8,0,0,2229,,,
h100calib_pr2_v2_1,S3_tool_stall_heavy,S3_tool_stall_heavy,acd_nisp,4,4,4,72.85855732637016,52.87450600998809,True,23484,15304,15304,23484,954433536.0,0.5,1.4873060648801129,0.11881536060436167,0.0,212.07032941830755,0.0,30231,0,2,2,0,6840,,,
h100calib_pr2_v2_1,S4_low_reuse_negative,S4_low_reuse_negative,acd_nisp,4,4,4,19.561869941103488,19.561869941103488,True,5531,6943,6943,5531,249790464.0,1.0833333333333333,1.6363636363636365,0.40300270753042655,0.0,41.00058863538078,0.0,10839,0,4,0,0,1175,,,
h100calib_pr2_v2_1,S5_tool_dominated_negative,S5_tool_dominated_negative,acd_nisp,4,4,2,377.22102234023174,377.22102234023174,True,4868,1272,1272,4868,124895232.0,1.6666666666666667,1.75,0.018364152384093103,0.0,738.7072413844603,0.0,3545,0,0,2,0,2690,,,
h100calib_pr2_v2_1,AGGREGATE,AGGREGATE,acd_nisp,4,4,4.4,101.94558198299794,96.79055892462766,True,103680,101644,101644,103680,5131943936.0,1.0166666666666666,2.240439093484419,0.2735094904720906,0.0,1115.2085476097354,0.0,170068,0,18,4,0,14186,20.529869004339815,316.3485293374594,365.04652373967724
h100calib_pr2_v2_1,S1_context_heavy,S1_context_heavy,acd_only,4,4,4,19.596593229259295,18.280017241999044,True,37056,33028,33028,37056,1893957632.0,0.9166666666666666,1.4978274863212102,0.4085624020867613,0.0,43.24887452031326,0.0,54827,0,0,0,0,4028,,,
h100calib_pr2_v2_1,S2_branch_heavy,S2_branch_heavy,acd_only,4,4,8,20.5648696911307,16.09163455068028,True,41069,33288,33288,41069,1908867072.0,0.9166666666666666,2.240439093484419,0.4213220883542153,0.0,80.1815136512736,0.0,70626,0,0,0,0,7781,,,
h100calib_pr2_v2_1,S3_tool_stall_heavy,S3_tool_stall_heavy,acd_only,4,4,4,72.89644749122549,52.810271370335734,True,20782,16644,16644,20782,954433536.0,0.5,1.4873060648801129,0.11860977378922602,0.0,212.07032941830755,0.0,30231,0,0,0,0,4138,,,
h100calib_pr2_v2_1,S4_low_reuse_negative,S4_low_reuse_negative,acd_only,4,4,4,19.58300260448631,19.58300260448631,True,6943,4356,4356,6943,249790464.0,1.0833333333333333,1.6363636363636365,0.40386666711166047,0.0,41.00058863538078,0.0,10839,0,0,0,0,2587,,,
h100calib_pr2_v2_1,S5_tool_dominated_negative,S5_tool_dominated_negative,acd_only,4,4,2,377.2019606054202,377.2019606054202,True,3338,2178,2178,3338,124895232.0,1.6666666666666667,1.75,0.018318156368063422,0.0,738.7072413844603,0.0,3545,0,0,0,0,1160,,,
h100calib_pr2_v2_1,AGGREGATE,AGGREGATE,acd_only,4,4,4.4,101.9685747243044,96.79337727458432,True,109188,89494,89494,109188,5131943936.0,1.0166666666666666,2.240439093484419,0.27413581754198535,0.0,1115.2085476097354,0.0,170068,0,0,0,0,19694,20.5648696911307,316.34085798258116,365.02974008085243
h100calib_pr2_v2_1,S1_context_heavy,S1_context_heavy,full_agentweaver,4,4,4,19.546591302944485,18.238723455900978,True,34280,37056,37056,34280,1893957632.0,0.9166666666666666,1.4978274863212102,0.38756008264065045,0.0,43.24887452031326,0.0,45280,9547,4,0,0,1252,,,
h100calib_pr2_v2_1,S2_branch_heavy,S2_branch_heavy,full_agentweaver,4,4,8,18.244208225977385,16.056672875914003,True,34998,30840,30840,34998,1431650304.0,0.9722222222222222,2.549481812639707,0.444597187033487,0.0,80.1815136512736,0.0,38219,32407,8,0,0,2229,,,
h100calib_pr2_v2_1,S3_tool_stall_heavy,S3_tool_stall_heavy,full_agentweaver,4,4,4,70.62685061892932,52.87450600998809,True,19821,2554,2554,19821,238608384.0,0.8333333333333334,1.0,0.32168227172462843,0.0,212.07032941830755,0.0,13981,16250,2,2,0,6840,,,
h100calib_pr2_v2_1,S4_low_reuse_negative,S4_low_reuse_negative,full_agentweaver,4,4,4,19.561869941103488,19.561869941103488,True,5531,6943,6943,5531,249790464.0,1.0833333333333333,1.6363636363636365,0.40300270753042655,0.0,41.00058863538078,0.0,10839,0,4,0,0,1175,,,
