config_id,total_sessions,active_session_limit,effective_regions,memory_budget_gb,arrival_pattern,session_pressure,region_pressure,memory_budget_per_active_session,predicted_arrival_burstiness,trace_mix_instance_entropy,repo_family_distribution,trace_llm_time_mean,trace_llm_time_p95,trace_tool_time_mean,trace_tool_time_p95,tool_time_share,llm_time_share,branch_jct_cv,tool_latency_cv,context_reuse_tokens,shared_context_ratio,repo_context_tokens,history_context_tokens,estimated_kv_bytes,estimated_domain_fanout,estimated_context_entropy,estimated_context_domain_count,context_hotspot_score,tool_events_per_session,llm_events_per_session,predicted_ready_depth,predicted_blocked_fraction,predicted_tool_blocked_fraction,estimated_remote_kv_pressure,estimated_remote_context_bytes,feature_sources_json
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,128,16,16,64,bursty,8.0,1.0,4.0,1.0,0.7216319190852098,"{""astropy"": 0.0390625, ""django"": 0.9609375}",0.9331936506233244,1.915906548500061,1.2019397872850843,1.6615867614746094,0.5629342719031709,0.43706572809682903,1.7168987801661606,5.290606936334833,15334.0,0.9829990156807442,5213610.0,1112750.0,379139948544,675.5,0.7216319190852098,2,0.8001480384900074,10.5546875,10.5546875,20.0,0.7036678398789636,0.7036678398789636,5.517212390899658,23696246784.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem64,128,16,16,64,closed_loop,8.0,1.0,4.0,0.2,0.5136112109056052,"{""astropy"": 0.0859375, ""django"": 0.9140625}",0.900105322837101,1.7808047771453848,2.2527430176826693,5.270564079284668,0.7145104281518622,0.2854895718481378,1.7459894633737845,4.3117219153223525,14229.0,0.9901092949219424,4532341.0,1011292.0,330223394816,654.5,0.5136112109056052,2,0.8854087089381207,10.2265625,10.2265625,16.8,0.7502359495594553,0.7502359495594553,4.80538284778595,20638962176.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er16:arrclosed_loop:mem8,128,16,16,8,closed_loop,8.0,1.0,0.5,0.2,0.8132920449643513,"{""astropy"": 0.0625, ""django"": 0.9375}",0.9545576822471202,1.9641282558441162,1.6438591672387315,4.272660255432129,0.6326387421494752,0.3673612578505248,1.8095431001909186,4.8590884312656515,15974.0,0.9942101176082434,5199509.0,1290409.0,384806854656,686.5,0.8132920449643513,2,0.7487254187909687,10.7265625,10.7265625,16.8,0.664270679256949,0.664270679256949,44.79741382598877,24050428416.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem32,128,16,16,32,poisson,8.0,1.0,2.0,0.55,0.5754622862475338,"{""astropy"": 0.109375, ""django"": 0.890625}",0.9387765055636882,1.8089306354522705,1.9354308069253934,5.270530939102173,0.6733789864480229,0.3266210135519772,1.6879401140120498,4.475244914890817,14405.0,0.9938207292053406,5111019.0,916286.0,357096685568,658.5,0.5754622862475338,2,0.8633257403189066,10.2890625,10.2890625,18.2,0.765968597084626,0.765968597084626,10.392881393432617,22318542848.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er16:arrpoisson:mem64,128,16,16,64,poisson,8.0,1.0,4.0,0.55,0.6332905746550958,"{""astropy"": 0.1484375, ""django"": 0.8515625}",0.9620503214354935,1.9641282558441162,1.7767806188876811,2.3117797732352434,0.6487368726300521,0.3512631273699479,1.548236084057685,4.661557702069884,14485.0,0.9867746810858286,4580219.0,954388.0,331156324352,658.0,0.6332905746550958,2,0.8404255319148937,10.28125,10.28125,18.2,0.7379381926166843,0.7379381926166843,4.818958759307861,20697270272.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er1:arrbursty:mem32,128,16,1,32,bursty,8.0,16.0,2.0,1.0,0.6024308020404452,"{""astropy"": 0.078125, ""django"": 0.921875}",0.9386478951973434,1.9065027236938477,1.7365849999713752,3.936257839202881,0.6491341382305537,0.35086586176944634,1.5575155502207738,4.604902110542298,14661.0,0.9901989463202465,4455759.0,1077452.0,329920733184,663.0,0.6024308020404452,2,0.8529411764705882,10.359375,10.359375,1.6885823272118077,0.8114176727881921,0.8114176727881921,153.6313133239746,329920733184.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er1:arrclosed_loop:mem16,128,16,1,16,closed_loop,8.0,16.0,1.0,0.2,0.6766494790617473,"{""astropy"": 0.0625, ""django"": 0.9375}",0.9173228451753638,1.8786940574645996,1.5246382877842717,2.184626436233516,0.6243499403843596,0.3756500596156404,1.7167580268368285,4.914220109695134,15114.0,0.9997646408171543,4942879.0,1152968.0,359375822848,672.5,0.6766494790617473,2,0.8215613382899628,10.5078125,10.5078125,1.4444325625964223,0.6555674374035777,0.6555674374035777,334.69481658935547,359375822848.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er1:arrpoisson:mem16,128,16,1,16,poisson,8.0,16.0,1.0,0.55,0.5757383899231896,"{""astropy"": 0.0625, ""django"": 0.9375}",0.9158315778140964,1.7853877544403076,1.5317747735102243,4.843150854110718,0.6258256245663975,0.37417437543360255,1.5819383632655935,4.5682035881732,14549.0,0.9998095217024265,4567762.0,1055196.0,331760041984,658.0,0.5757383899231896,2,0.8632218844984803,10.28125,10.28125,1.5631233520557226,0.7118766479442771,0.7118766479442771,308.9756164550781,331760041984.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er1:arrpoisson:mem32,128,16,1,32,poisson,8.0,16.0,2.0,0.55,0.5180428285648626,"{""astropy"": 0.09375, ""django"": 0.90625}",0.8966843039258715,1.7790861606597907,1.336595531541352,2.653775155544281,0.598489947526761,0.401510052473239,1.4912746343080017,4.986455302934121,13924.0,0.9856046481295373,4272320.0,800675.0,304240427008,646.0,0.5180428285648626,2,0.8839009287925697,10.09375,10.09375,1.5942176846883094,0.6807823153116906,0.6807823153116906,141.67298889160156,304240427008.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
aligned_v10_stratified:ts128:al16:er1:arrpoisson:mem64,128,16,1,64,poisson,8.0,16.0,4.0,0.55,0.6819527913530649,"{""astropy"": 0.09375, ""django"": 0.90625}",0.9237906577089449,1.9196680784225473,1.3024708365306201,2.1799981594085693,0.5850484500139601,0.41495154998604,1.6731699032524563,5.181129615215315,14820.0,0.9868877737757555,4473686.0,1053370.0,330898735104,663.5,0.6819527913530649,2,0.8191409193669932,10.3671875,10.3671875,1.6095073881091204,0.6654926118908796,0.6654926118908796,77.04336547851562,330898735104.0,"{""config"": [""total_sessions"", ""active_session_limit"", ""effective_regions"", ""memory_budget_gb"", ""arrival_pattern""], ""policy_outcome"": [], ""predicted"": [""predicted_arrival_burstiness"", ""predicted_ready_depth"", ""predicted_blocked_fraction"", ""predicted_tool_blocked_fraction"", ""estimated_remote_kv_pressure"", ""estimated_remote_context_bytes""], ""trace"": [""trace_llm_time_mean"", ""trace_tool_time_mean"", ""trace_mix_instance_entropy"", ""repo_family_distribution"", ""context_reuse_tokens"", ""shared_context_ratio""]}"
